,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,
24,25,Buy win,33.99,28,34.18,2015-07-06 17:00:00-04:00,33.89,33.89,22,33.6,33.6,19,2900,33.844,0,-0.146,-50,29,34.18,6,0,Buy,win,0.655172414,65,0.013370866,0.004619037,normal,1,1,76,561,0.073170732,80%
25,26,Sell win,35.224,15,35.15,2016-04-11 17:00:00-04:00,35.752,35.334,13,35.242,35.242,20,5100,35.434,13,-0.21,-40,15,35.15,23,34.768,Sell,win,0.145098039,15,0.002961184,0.004555274,same_hi,1,0,76.92307692,576,0.212121212,80%
26,27,Sell win,34.782,38,34.706,2016-09-21 17:00:00-04:00,35.765,34.95,43,34.828,34.828,73,9370,35.11,5,-0.328,-35,38,34.706,39,34.552,Sell,win,0.081109925,10,0.001655305,0.004447867,same_hi,0,0,77.77777778,586,0.25862069,80%
27,28,Buy loss,35.694,8,34.842,2017-02-26 17:00:00-05:00,35.672,35.672,30,34.862,34.862,25,8100,34.842,66,-0.852,-105,8,36.012,0,36.012,Buy,loss,-1.051851852,-105,-0.021466364,0.003522359,loss,0,1,75,481,0.090909091,75%
28,29,Sell win,34.842,8,34.842,2017-02-26 17:00:00-05:00,35.672,35.672,96,34.862,34.862,91,8100,35.426,9,-0.584,-70,11,34.842,14,34.842,Sell,win,0,0,0,0.003400898,same_hi,29,2,75.86206897,481,-0.026737968,75%
29,30,Sell win,34.156,21,33.9,2017-05-24 17:00:00-04:00,34.777,34.777,12,34.294,34.294,28,4830,34.346,0,-0.19,-40,28,33.9,36,33.9,Sell,win,0.530020704,55,0.010816749,0.003648093,same_hi,0,1,76.66666667,536,0.4,75%
30,31,Sell win,33.048,46,32.87,2017-11-13 17:00:00-05:00,34.137,33.24,92,33.055,33.055,22,10820,33.102,0,-0.054,-5,46,32.87,3,0,Sell,win,0.164510166,15,0.00335735,0.003638715,swap_TP,0,0,77.41935484,551,-0.614035088,75%
31,32,Buy loss,33.064,52,32.317,2018-12-30 17:00:00-05:00,32.997,32.997,12,32.498,32.498,8,4990,32.317,45,-0.747,-150,52,33.284,0,33.284,Buy,loss,-1.496993988,-150,-0.030550898,0.002570289,loss,0,0,75,401,0.2,75%
32,33,Sell win,32.317,52,31.999,2018-12-30 17:00:00-05:00,32.997,32.997,57,32.498,32.498,53,4990,32.544,0,-0.227,-45,1,31.999,3,33.284,Sell,win,0.637274549,65,0.013005603,0.002886511,same_hi,22,1,75.75757576,466,-0.036363636,75%
33,34,Buy loss,31.899,19,31.53,2019-05-09 17:00:00-04:00,31.873,31.873,14,31.1,31.541,25,7730,31.53,32,-0.369,-50,19,32.066,0,32.066,Buy,loss,-0.477360931,-50,-0.00974206,0.002515082,loss,0,0,73.52941176,416,-0.282051282,75%
34,35,Sell loss,31.53,21,31.957,2019-05-20 17:00:00-04:00,31.873,31.873,46,31.1,31.517,57,7730,31.957,7,-0.427,-55,21,31.209,7,32.066,Sell,loss,-0.552393273,-55,-0.011273332,0.002121128,loss,20,0,71.42857143,361,0.106796117,75%
35,36,Buy loss,31.957,22,31.527,2019-05-30 17:00:00-04:00,31.873,31.873,46,31.1,31.541,57,7730,31.527,8,-0.43,-55,22,32.205,0,0,Buy,loss,-0.556274256,-55,-0.011352536,0.001746859,loss,21,0,69.44444444,306,-0.106796117,70%
36,37,Sell win,31.527,22,31.209,2019-05-30 17:00:00-04:00,31.873,31.873,54,31.1,31.541,65,7730,31.825,0,-0.298,-40,24,31.209,9,0,Sell,win,0.411384217,40,0.008395596,0.001926555,swap_TP,27,0,70.27027027,346,0.092436975,75%
