,time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
66,2016-09-22T12:00:00+07:00,1.46358,1.4663,1.46328,1.46475,1.467193266,1.468331053,1.46953725,1.470643679,1.471054183,1.474778046,3,1,1.46188,23,1.48725,53,1.46475,0,1.45551,Buy,67,53,Buy,win,0.002869999999999928,0.19632254357402304,Buywin
67,2016-09-26T20:00:00+07:00,1.48219,1.48803,1.47839,1.48604,1.468897165,1.470005961,1.471170703,1.472322223,1.473422527,1.468016478,3,2,1.46475,2,1.46125,15,1.48604,0,1.48803,Sell,68,15,Sell,loss,-0.02129000000000003,-1.4534903567161652,Sellloss
68,2016-10-01T00:00:00+07:00,1.47256,1.47569,1.4723,1.47428,1.471980459,1.472905273,1.473743599,1.474342446,1.474404661,1.4777004,3,1,1.48604,2,1.4925,25,1.47428,23,1.46302,Buy,69,25,Buy,loss,-0.011759999999999993,-0.7913649699873484,Buyloss
69,2016-10-06T00:00:00+07:00,1.47575,1.47747,1.47549,1.47609,1.472813441,1.473538817,1.474155851,1.474598316,1.474892018,1.468970966,3,2,1.47428,0,1.46441,19,1.47609,17,1.48348,Sell,70,19,Sell,loss,-0.0018099999999998673,-0.12277179368911383,Sellloss
70,2016-10-12T00:00:00+07:00,1.46501,1.46665,1.46326,1.46606,1.47309726,1.473468603,1.47364152,1.473505708,1.472847011,1.484537383,3,1,1.47609,12,1.48936,24,1.46606,23,1.46076,Buy,71,24,Buy,loss,-0.010029999999999983,-0.6794978625964531,Buyloss
71,2016-10-26T08:00:00+07:00,1.4524,1.45412,1.45209,1.45399,1.45476803,1.4533312,1.45175421,1.450302087,1.449655639,1.442617404,3,2,1.46606,36,1.42641,63,1.45399,1,1.46665,Sell,72,63,Sell,win,0.012070000000000025,0.8232950902418745,Sellwin
72,2016-11-08T21:00:00+07:00,1.47551,1.47805,1.46933,1.46952,1.470720778,1.472140373,1.474046728,1.476440878,1.478783922,1.490426814,3,1,1.45399,45,1.49608,57,1.46952,0,1.45209,Buy,73,57,Buy,win,0.015530000000000044,1.0680953789228294,Buywin
73,2016-12-07T09:00:00+07:00,1.42443,1.42515,1.4237,1.42382,1.4300318,1.427859375,1.425738379,1.423942298,1.422895269,1.413043144,3,2,1.46952,111,1.4027,124,1.42382,4,1.52815,Sell,74,124,Sell,win,0.04569999999999985,3.109859001578737,Sellwin
74,2016-12-09T21:00:00+07:00,1.39297,1.39376,1.38631,1.38855,1.42429414,1.421825669,1.419234067,1.416489213,1.413143755,1.42219418,3,1,1.42382,8,1.43553,15,1.38855,0,1.38631,Buy,75,15,Buy,loss,-0.035270000000000135,-2.4771389641949217,Buyloss
75,2016-12-23T01:00:00+07:00,1.40883,1.40948,1.40663,1.40668,1.404355492,1.402122003,1.400132122,1.398677112,1.398373052,1.396158478,3,2,1.38855,3,1.38197,56,1.40668,55,1.41687,Sell,76,56,Sell,loss,-0.01812999999999998,-1.305678585574879,Sellloss
