,time,open,high,low,close,EMA90,EMA,EMA60,EMA45,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
41,2016-06-13T12:00:00+07:00,1.41887,1.42215,1.41281,1.41482,1.447793432,1.447078363,1.445910023,1.444067884,1.441057557,1.447260799,3,1,1.45316,1,1.46007,18,1.41482,0,1.41281,Buy,42,18,Buy,loss,-0.03834000000000004,-2.6383880646315645,Buyloss
42,2016-06-21T04:00:00+07:00,1.46804,1.46951,1.4627,1.46485,1.439535255,1.438643271,1.43783891,1.437643843,1.439617003,1.451604966,3,2,1.41482,21,1.40122,35,1.46485,34,1.47179,Sell,43,35,Sell,loss,-0.05003000000000002,-3.536138872789473,Sellloss
43,2016-06-27T12:00:00+07:00,1.33965,1.34743,1.33238,1.33246,1.434980334,1.433133636,1.43057408,1.426508565,1.418121562,1.462923679,3,1,1.46485,18,1.50186,26,1.33246,19,1.32263,Buy,44,26,Buy,loss,-0.13239,-9.037785438782128,Buyloss
44,2016-08-03T12:00:00+07:00,1.33226,1.33558,1.3287,1.3354,1.322701509,1.321477422,1.321115984,1.321732823,1.323481892,1.320537623,3,2,1.33246,42,1.27893,163,1.3354,15,1.35333,Sell,45,163,Sell,loss,-0.0029399999999999427,-0.22064452216201183,Sellloss
45,2016-08-05T20:00:00+07:00,1.30469,1.30808,1.30211,1.30785,1.321798559,1.320752146,1.320285419,1.320215805,1.319922622,1.328721557,3,1,1.3354,1,1.33715,14,1.30785,0,1.30211,Buy,46,14,Buy,loss,-0.027549999999999963,-2.0630522689830735,Buyloss
46,2016-08-19T08:00:00+07:00,1.31498,1.31512,1.31283,1.31441,1.307395071,1.30607027,1.305008096,1.304368617,1.304866771,1.310436142,3,2,1.30785,37,1.28654,58,1.31441,57,1.31853,Sell,47,58,Sell,loss,-0.006560000000000121,-0.5015865733838071,Sellloss
47,2016-08-30T04:00:00+07:00,1.31031,1.31195,1.30969,1.31075,1.312308604,1.312409488,1.312876965,1.313664941,1.314405158,1.321151562,3,1,1.31441,33,1.3279,41,1.31075,3,1.30228,Buy,48,41,Buy,loss,-0.0036599999999999966,-0.2784519290023658,Buyloss
48,2016-09-02T00:00:00+07:00,1.32751,1.32795,1.32604,1.32671,1.313175507,1.313427842,1.313974176,1.314778637,1.315806428,1.310782841,3,2,1.31075,3,1.30591,18,1.32671,17,1.33178,Sell,49,18,Sell,loss,-0.015959999999999974,-1.2176234979973277,Sellloss
49,2016-09-14T20:00:00+07:00,1.31855,1.3209,1.31381,1.31919,1.324199286,1.325080769,1.325939273,1.326471802,1.326035142,1.329453265,3,1,1.32671,18,1.34451,53,1.31919,0,1.31381,Buy,50,53,Buy,loss,-0.007519999999999971,-0.5668156567750278,Buyloss
50,2016-11-03T16:00:00+07:00,1.23326,1.24947,1.23285,1.24751,1.229200758,1.227131338,1.225759441,1.22543066,1.22658047,1.224261131,3,2,1.31919,99,1.19048,216,1.24751,3,1.32784,Sell,51,216,Sell,win,0.07168000000000019,5.433637307741886,Sellwin
