,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,accum_winrate20,accum_winrate50
231,232,Buy win,1.38595,36,1.3870875799999998,2021-09-10 13:30:00+07:00,1.38566,1.38566,28,1.38335,1.38335,20,25.0,1.38398,0,-0.0019700000000000273,-85.0,36,1.3870875799999998,2.0,0.0,Buy,win,0.492458874458806,50.0,0.001150604846866369,3.3170366797177385e-05,normal,0,2,78.01724137931035,326.0,0.16666666666666666,75.0,70.0
232,233,Sell win,1.38177,37,1.38110984,2021-09-13 12:00:00+07:00,1.3884,1.38454,35,1.38242,1.38242,17,60.0,1.38267,2,-0.0009000000000001229,-15.0,37,1.38110984,3.0,0.0,Sell,win,0.11039464882943313,10.0,0.00025793142249867557,3.4135006521218154e-05,swap_TP,0,1,78.11158798283262,336.0,-0.34615384615384615,75.0,70.0
233,234,Buy win,1.38487,37,1.38597858,2021-09-14 09:30:00+07:00,1.38486,1.38486,24,1.38305,1.38305,17,20.0,1.38295,7,-0.0019200000000001438,-105.0,37,1.38597858,9.0,0.0,Buy,win,0.6124751381214696,60.0,0.0014310166778539008,4.010458631323817e-05,normal,0,1,78.2051282051282,396.0,0.17073170731707318,80.0,70.0
234,235,Buy win,1.38506,37,1.3844688,2021-09-15 20:30:00+07:00,1.38348,1.38348,13,1.37971,1.38188,22,40.0,1.38192,2,-0.0031399999999999206,-85.0,37,1.3844688,19.0,0.0,Buy,win,0.1568169761272931,15.0,0.0003663948040357315,4.1493055324823245e-05,swap_TP,0,0,78.29787234042553,411.0,-0.2571428571428571,80.0,70.0
235,236,Sell win,1.3756,37,1.37440452,2021-09-17 21:30:00+07:00,1.38521,1.38065,79,1.37679,1.37679,48,85.0,1.37758,0,-0.001980000000000093,-25.0,37,1.37440452,1.0,0.0,Sell,win,0.14198099762470465,15.0,0.0003317313028614595,4.27228784076056e-05,swap_TP,0,0,78.38983050847457,426.0,-0.2440944881889764,80.0,70.0
236,237,Sell win,1.36432,38,1.36256,2021-09-21 22:00:00+07:00,1.36892,1.36892,11,1.36434,1.36434,45,45.0,1.36895,54,-0.004629999999999912,-100.0,38,1.36256,55.0,1.36256,Sell,win,0.38427947598254547,40.0,0.0008978492429498726,4.633100652803711e-05,same_hi,1,1,78.48101265822785,466.0,0.6071428571428571,85.0,72.0
237,238,Buy win,1.36831,38,1.3717573400000003,2021-09-23 17:30:00+07:00,1.36766,1.36766,33,1.36103,1.36103,28,65.0,1.36661,0,-0.0016999999999998128,-25.0,38,1.3717573400000003,2.0,0.0,Buy,win,0.5199607843137682,50.0,0.0012148616455929164,5.124079912915005e-05,normal,2,0,78.57142857142857,516.0,0.08196721311475409,85.0,74.0
238,239,Sell win,1.36446,39,1.36275988,2021-09-28 16:30:00+07:00,1.3714,1.3714,10,1.36606,1.36606,78,55.0,1.36673,0,-0.0022699999999999942,-45.0,39,1.36275988,1.0,0.0,Sell,win,0.31837453183520664,30.0,0.0007438657285869314,5.4138811386295584e-05,normal,0,2,78.66108786610879,546.0,0.7727272727272727,90.0,76.0
239,240,Buy win,1.34554,39,1.34793166,2021-09-30 16:30:00+07:00,1.34554,1.34554,12,1.34167,1.34167,28,40.0,1.34324,2,-0.0022999999999999687,-60.0,39,1.34793166,6.0,0.0,Buy,win,0.6179999999999982,60.0,0.0014439252336448556,5.9929588145706245e-05,normal,2,1,78.75,606.0,-0.4,95.0,76.0
240,241,Buy win,1.3518,39,1.35329944,2021-10-01 17:00:00+07:00,1.35016,1.35016,38,1.34508,1.34508,10,50.0,1.34892,0,-0.0028799999999999937,-55.0,39,1.35329944,2.0,0.0,Buy,win,0.2951653543307357,30.0,0.0006896386783428405,6.254248893490597e-05,normal,0,2,78.83817427385893,636.0,0.5833333333333334,100.0,78.0
