,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,accum_winrate20,accum_winrate50
130,131,Buy win,104.875,5,105.016792,2021-02-02 08:30:00+07:00,104.866,104.866,80,104.622,104.622,49,2440.0,104.832,0,-0.043000000000006366,-20.0,5,105.016792,7.0,0.0,Buy,win,0.5811147540983418,60.0,0.0016277724204435344,3.932781462182266e-05,normal,34,0,78.62595419847328,191.0,0.24031007751937986,85.0,84.0
131,132,Buy win,105.181,5,105.285544,2021-02-04 12:00:00+07:00,105.157,105.157,77,104.949,104.949,54,2080.0,105.121,0,-0.060000000000002274,-30.0,5,105.285544,11.0,0.0,Buy,win,0.5026153846154086,50.0,0.0014078862314157103,4.969568141571575e-05,normal,0,0,78.78787878787878,241.0,0.17557251908396945,85.0,84.0
132,133,Sell win,105.227,6,105.11491399999998,2021-02-08 22:00:00+07:00,105.644,105.644,10,105.317,105.317,35,3270.0,105.37,0,-0.14300000000000068,-45.0,6,105.11491399999998,20.0,0.0,Sell,win,0.3427706422018807,35.0,0.0009601418549072289,5.654114136677975e-05,normal,0,1,78.94736842105263,276.0,0.5555555555555556,85.0,84.0
133,134,Buy win,104.794,6,104.948354,2021-02-12 00:00:00+07:00,104.792,104.792,63,104.539,104.539,91,2530.0,104.681,10,-0.11299999999999955,-45.0,6,104.948354,30.0,0.0,Buy,win,0.6100948616600704,60.0,0.0017089491923251271,6.887254473214055e-05,normal,3,1,79.1044776119403,336.0,-0.18181818181818182,90.0,86.0
134,135,Buy win,105.095,7,105.18758799999999,2021-02-15 07:00:00+07:00,105.085,105.085,20,104.919,104.919,5,1660.0,104.978,4,-0.11700000000000443,-70.0,7,105.18758799999999,15.0,0.0,Buy,win,0.5577590361445416,55.0,0.001562350241301237,7.993534248450423e-05,normal,0,0,79.25925925925925,391.0,0.6,95.0,88.0
135,136,Sell loss,105.253,7,105.727,2021-02-16 17:00:00+07:00,105.627,105.627,12,105.298,105.298,33,3290.0,105.727,7,-0.47400000000000375,-145.0,7,105.247,0.0,105.247,Sell,loss,-1.4407294832827147,-145.0,-0.004035656815917968,4.967363543742723e-05,loss,0,1,78.67647058823529,246.0,0.4666666666666667,90.0,86.0
136,137,Buy win,105.727,7,105.830322,2021-02-16 20:30:00+07:00,105.627,105.627,19,105.298,105.298,40,3290.0,105.593,0,-0.13400000000000034,-40.0,7,105.830322,6.0,0.0,Buy,win,0.3140486322188253,30.0,0.0008796880454308831,5.5732134780445154e-05,normal,0,5,78.83211678832117,276.0,-0.3559322033898305,90.0,86.0
137,138,Sell win,105.724,7,105.715986,2021-02-18 15:30:00+07:00,106.162,105.915,48,105.792,105.792,14,3700.0,105.924,13,-0.20000000000000284,-55.0,7,105.715986,16.0,0.0,Sell,win,0.0216594594594669,0.0,6.0670754788422695e-05,5.5767921881952236e-05,swap_TP,0,1,78.98550724637681,276.0,-0.5483870967741935,90.0,86.0
138,139,Sell win,105.596,7,105.49236599999999,2021-02-19 11:30:00+07:00,105.837,105.837,28,105.624,105.624,30,2130.0,105.698,5,-0.10199999999998965,-50.0,7,105.49236599999999,8.0,0.0,Sell,win,0.48654460093901336,50.0,0.001362870030641494,6.517153417518636e-05,normal,0,0,79.13669064748201,326.0,0.034482758620689655,90.0,86.0
139,140,Buy win,105.666,8,105.78917399999999,2021-02-22 09:00:00+07:00,105.639,105.639,18,105.263,105.396,27,3760.0,105.561,2,-0.10499999999998977,-30.0,8,105.78917399999999,12.0,0.0,Buy,win,0.327590425531901,35.0,0.0009176202395851568,7.126045349954329e-05,swap_TP,0,0,79.28571428571429,361.0,-0.2,90.0,86.0
140,141,Buy win,105.418,8,105.54886,2021-02-24 07:30:00+07:00,105.382,105.382,22,105.112,105.112,19,2700.0,105.272,0,-0.1460000000000008,-55.0,8,105.54886,10.0,0.0,Buy,win,0.48466666666664243,50.0,0.0013576097105508192,8.038349787579347e-05,normal,0,0,79.43262411347517,411.0,0.07317073170731707,90.0,86.0
141,142,Buy win,106.027,8,106.13500400000001,2021-02-25 07:30:00+07:00,106.025,106.025,20,105.847,105.847,6,1780.0,105.969,0,-0.058000000000006935,-35.0,8,106.13500400000001,2.0,0.0,Buy,win,0.6067640449438272,60.0,0.001699619173512121,9.178656601407746e-05,normal,0,0,79.5774647887324,471.0,0.5384615384615384,90.0,86.0
142,143,Buy win,106.158,8,106.28415199999999,2021-02-25 17:00:00+07:00,106.121,106.121,17,105.857,105.857,10,2640.0,106.036,7,-0.12199999999999989,-45.0,8,106.28415199999999,12.0,0.0,Buy,win,0.47784848484845643,50.0,0.0013385111620404942,0.00010050491983244402,normal,3,0,79.72027972027972,521.0,0.25925925925925924,90.0,86.0
143,144,Buy loss,106.879,9,106.744,2021-03-02 09:30:00+07:00,106.874,106.874,11,106.749,106.749,5,1250.0,106.744,4,-0.13500000000000512,-110.0,9,106.95125,0.0,0.0,Buy,loss,-1.080000000000041,-110.0,-0.0030252100840337283,7.879856563892892e-05,loss,0,0,79.16666666666667,411.0,0.375,90.0,84.0
144,145,Sell loss,106.744,9,106.897,2021-03-02 09:30:00+07:00,106.874,106.874,15,106.749,106.749,9,1250.0,106.897,13,-0.1530000000000058,-120.0,9,106.67174999999999,0.0,0.0,Sell,loss,-1.2240000000000464,-120.0,-0.0034285714285715585,5.4609807058166944e-05,loss,4,0,78.62068965517241,291.0,-0.25,85.0,82.0
145,146,Buy win,106.897,9,106.95125,2021-03-02 16:00:00+07:00,106.874,106.874,28,106.749,106.749,22,1250.0,106.848,2,-0.049000000000006594,-40.0,9,106.95125,4.0,0.0,Buy,win,0.4339999999999691,45.0,0.0012156862745097174,6.256238560235564e-05,normal,8,2,78.76712328767124,336.0,0.12,85.0,82.0
146,147,Buy win,106.951,9,107.11486,2021-03-03 17:30:00+07:00,106.948,106.948,47,106.678,106.678,25,2700.0,106.798,5,-0.1529999999999916,-55.0,9,107.11486,10.0,0.0,Buy,win,0.6068888888888966,60.0,0.0016999688764394861,7.370120526791437e-05,normal,0,0,78.91156462585035,396.0,0.3055555555555556,85.0,82.0
147,148,Sell win,108.572,10,108.457,2021-03-10 00:00:00+07:00,109.201,108.939,29,108.587,108.587,17,6140.0,108.92,26,-0.347999999999999,-55.0,10,108.457,41.0,108.457,Sell,win,0.18729641693812857,20.0,0.0005246398233561024,7.674808782256429e-05,same_hi,0,2,79.05405405405405,416.0,-0.2608695652173913,85.0,84.0
148,149,Buy win,108.856,10,108.981502,2021-03-12 13:00:00+07:00,108.772,108.772,47,108.433,108.433,43,3390.0,108.745,0,-0.11099999999999,-35.0,10,108.981502,2.0,0.0,Buy,win,0.37021238938056655,35.0,0.0010370094940632115,8.319279524699816e-05,normal,2,10,79.19463087248322,451.0,0.044444444444444446,90.0,84.0
