Index,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
150,Buy win,2021-03-10T20:30:00+07:00,0.77266,0.7723,0.7723,35,0.76758,0.76758,15,0.77015,0,0.7739,21,0.7739,Buy,win,0.262711864,0.00088754
151,Buy loss,2021-03-15T09:00:00+07:00,0.77739,0.77711,0.77711,19,0.7748,0.7748,6,0.7747,2,0.77853758,0,0,Buy,loss,-1.164502165,-0.003934129
152,Sell win,2021-03-15T09:00:00+07:00,0.7747,0.77711,0.77711,21,0.7748,0.7748,8,0.77639,0,0.77337242,7,0,Sell,win,0.574709957,0.001941588
153,Sell win,2021-03-15T21:00:00+07:00,0.7729,0.7759,0.7759,10,0.77292,0.77292,16,0.7737,1,0.77107836,3,0,Sell,win,0.611288591,0.002065164
154,Sell loss,2021-03-17T18:00:00+07:00,0.77169,0.77579,0.77538,78,0.77197,0.77197,52,0.77618,14,0.76986262,0,0,Sell,loss,-1.17539267,-0.003970921
155,Buy win,2021-03-18T01:00:00+07:00,0.77618,0.77579,0.77538,92,0.77197,0.77197,66,0.7703,0,0.77748738,1,0,Buy,win,0.342246073,0.001156237
156,Sell win,2021-03-22T04:00:00+07:00,0.77132,0.77692,0.7754,25,0.77264,0.77264,40,0.77564,43,0.77093432,59,0.77063,Sell,win,0.09011215,0.000304433
157,Sell loss,2021-03-25T02:30:00+07:00,0.75875,0.76275,0.76111,7,0.75883,0.75883,25,0.76117,30,0.75875,0,0.75875,Sell,loss,-0.617346939,-0.002085632
158,Buy loss,2021-03-25T21:30:00+07:00,0.76117,0.76275,0.76111,37,0.75883,0.75883,55,0.75835,8,0.76251904,0,0.75875,Buy,loss,-0.719387755,-0.002430364
159,Sell win,2021-03-25T21:30:00+07:00,0.75835,0.76275,0.76111,45,0.75883,0.75883,63,0.7599,0,0.75742096,1,0.75875,Sell,win,0.237,0.000800676
160,Buy win,2021-03-29T08:00:00+07:00,0.7625,0.76248,0.76248,39,0.76076,0.76076,26,0.76211,0,0.76354296,2,0,Buy,win,0.606372093,0.002048554
161,Buy loss,2021-03-30T17:30:00+07:00,0.76583,0.76529,0.76529,31,0.76277,0.76277,13,0.76174,15,0.76583,0,0.76583,Buy,loss,-1.623015873,-0.005483162
162,Sell win,2021-03-30T17:30:00+07:00,0.76174,0.76529,0.76529,46,0.76277,0.76277,28,0.76335,0,0.76121264,1,0.76583,Sell,win,0.209269841,0.000706993
