,time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Max_AFDD,Max_AFDDBar,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,ac,accum_winrate,side,result,profit,prob,results
57,2017-10-30T20:00:00+07:00,131.968,131.976,131.454,131.661,132.9482523,132.981457,132.9981977,132.9806523,132.868528,132.5523243,3,1,133.421,57,134.5,131.454,56,75,131.661,75,131.454,Buy,58,75,,,Buy,loss,-1.759999999999991,-1.3191326702692912,Buyloss
58,2017-11-15T09:00:00+07:00,133.483,133.574,133.301,133.418,132.5751341,132.5673425,132.5650803,132.5878025,132.6857727,132.8345602,3,2,131.661,42,131.4,133.889,69,70,133.418,1,133.889,Sell,59,70,,,Sell,loss,-1.757000000000005,-1.334487813399568,Sellloss
59,2017-11-23T09:00:00+07:00,131.477,131.819,131.44,131.67,132.3803485,132.3383885,132.2818772,132.2002533,132.0628039,132.25414,3,1,133.418,1,133.652,131.169,17,36,131.67,19,131.169,Buy,60,36,,,Buy,loss,-1.7480000000000189,-1.3101680432925233,Buyloss
60,2017-12-01T13:00:00+07:00,134.237,134.382,133.802,133.839,132.578934,132.6016387,132.6445745,132.7271911,132.8944508,133.0892814,3,2,131.67,0,131.232,134.382,-1,38,133.839,38,134.382,Sell,61,38,,,Sell,loss,-2.169000000000011,-1.6473000683527086,Sellloss
61,2017-12-07T17:00:00+07:00,132.814,132.96,132.711,132.841,132.8070899,132.844617,132.8915591,132.9433928,132.9714324,132.990083,3,1,133.839,0,134.382,132.262,20,25,132.841,5,132.262,Buy,62,25,,,Buy,loss,-0.9979999999999905,-0.7456720387928709,Buyloss
62,2017-12-11T21:00:00+07:00,133.574,133.855,133.547,133.764,132.9786888,133.0350097,133.1054269,133.1913242,133.2923991,133.3291952,3,2,132.841,0,132.656,133.885,10,14,133.764,4,133.885,Sell,63,14,,,Sell,loss,-0.9230000000000018,-0.6948156066274732,Sellloss
63,2017-12-15T21:00:00+07:00,132.419,132.728,132.246,132.58,132.9760921,132.9996747,133.0154906,133.0082219,132.9425075,133.2174745,3,1,133.764,0,133.855,132.053,22,24,132.58,2,132.053,Buy,64,24,,,Buy,loss,-1.1839999999999975,-0.8851409945874805,Buyloss
64,2017-12-21T13:00:00+07:00,134.573,134.881,134.533,134.819,133.201638,133.2581148,133.32745,133.4220154,133.5866063,134.22218,3,2,132.58,3,132.124,134.881,2,23,134.819,23,134.881,Sell,65,23,,,Sell,loss,-2.238999999999976,-1.6887916729521615,Sellloss
65,2018-01-10T17:00:00+07:00,133.427,133.842,133.317,133.838,134.6972888,134.8077633,134.907119,134.9673594,134.9157597,134.5266722,3,1,134.819,55,136.639,133.317,54,73,133.838,73,133.317,Buy,66,73,,,Buy,loss,-0.9809999999999945,-0.7276422462709222,Buyloss
66,2018-01-17T09:00:00+07:00,135.713,135.903,135.639,135.73,134.8208532,134.903889,134.9811479,135.0549645,135.1562157,134.981,3,2,133.838,4,133.018,136.1,23,29,135.73,6,136.1,Sell,67,29,,,Sell,loss,-1.891999999999996,-1.4136493372584737,Sellloss
67,2018-01-30T21:00:00+07:00,135.117,135.174,134.828,135.007,135.2303159,135.2685541,135.28647,135.2716239,135.1976768,135.4442025,3,1,135.73,8,136.312,134.132,55,57,135.007,2,134.132,Buy,68,57,,,Buy,loss,-0.7229999999999848,-0.5326751639283761,Buyloss
68,2018-02-02T09:00:00+07:00,136.793,137.085,136.782,137.021,135.4522448,135.5181309,135.5845668,135.6624155,135.7903337,135.9143991,3,2,135.007,0,134.657,137.085,-1,16,137.021,16,137.085,Sell,69,16,,,Sell,loss,-2.0139999999999816,-1.4917745005814376,Sellloss
69,2018-02-08T21:00:00+07:00,134.506,134.629,132.939,133.139,135.3839075,135.3882665,135.3637078,135.2882623,135.1032193,135.4455812,3,1,137.021,4,137.506,132.939,3,27,133.139,27,132.939,Buy,70,27,,,Buy,loss,-3.8819999999999766,-2.8331423650389187,Buyloss
70,2018-03-07T21:00:00+07:00,131.388,131.619,131.179,131.341,131.6178739,131.4144826,131.2174023,131.0529286,130.9748481,130.9929832,3,2,133.139,101,129.351,132.018,108,115,131.341,115,134.652,Sell,71,115,,,Sell,win,1.7980000000000018,1.3504683075582675,Sellwin
71,2018-03-16T20:00:00+07:00,130.226,130.443,130.075,130.422,131.400028,131.3000146,131.2209211,131.162101,131.0887875,131.3062425,3,1,131.341,23,132.436,130.075,22,42,130.422,42,130.075,Buy,72,42,,,Buy,loss,-0.9190000000000111,-0.6997053471497942,Buyloss
72,2018-04-09T16:00:00+07:00,131.505,131.726,131.391,131.711,130.9975159,131.0010189,131.0294891,131.0879588,131.18507,131.105,3,2,130.422,27,128.944,131.816,41,96,131.711,55,131.816,Sell,73,96,,,Sell,loss,-1.2890000000000157,-0.9883301896919352,Sellloss
73,2018-05-01T08:00:00+07:00,132.062,132.136,132.036,132.082,132.3288248,132.3909745,132.4414837,132.4609002,132.4166638,132.5030106,3,1,131.711,67,133.486,131.863,91,94,132.082,92,131.378,Buy,74,94,,,Buy,win,0.3709999999999809,0.28167730865302126,Buywin
74,2018-06-05T00:00:00+07:00,128.177,128.491,128.176,128.452,128.4976375,128.2618855,128.0128621,127.7750932,127.6296533,127.9418159,3,2,132.082,125,124.62,128.688,147,149,128.452,148,132.136,Sell,75,149,,,Sell,win,3.6299999999999955,2.7482927272451927,Sellwin
75,2018-06-18T16:00:00+07:00,128.104,128.418,128.094,128.201,128.9318885,128.9017624,128.8901892,128.881142,128.8049858,128.887872,3,1,128.452,46,130.362,127.701,49,58,128.201,9,127.701,Buy,76,58,,,Buy,loss,-0.2510000000000048,-0.1954037305764058,Buyloss
76,2018-07-03T08:00:00+07:00,129.095,129.272,128.732,128.935,128.3788884,128.3573744,128.3578076,128.3955595,128.5098703,128.5252,3,2,128.201,6,126.643,129.499,59,65,128.935,6,129.499,Sell,77,65,,,Sell,loss,-0.7340000000000089,-0.5725384357376377,Sellloss
77,2018-07-23T12:00:00+07:00,130.167,130.309,130.033,130.059,130.4422868,130.5919474,130.7467638,130.8794359,130.924683,130.8091029,3,1,128.935,63,131.986,130.033,62,85,130.059,77,128.5,Buy,78,85,,,Buy,win,1.1239999999999952,0.8717570869042504,Buywin
78,2018-08-01T16:00:00+07:00,130.842,130.887,130.662,130.845,130.1983167,130.2282922,130.2390885,130.2309878,130.2435502,130.3287245,3,2,130.059,26,129.127,131.153,39,44,130.845,5,131.153,Sell,79,44,,,Sell,loss,-0.7860000000000014,-0.6043411067284858,Sellloss
79,2018-08-06T08:00:00+07:00,128.572,128.76,128.52,128.685,129.9605,129.938175,129.8828449,129.7832728,129.6248174,129.3558017,3,1,130.845,0,130.887,128.52,-1,16,128.685,16,128.52,Buy,80,16,,,Buy,loss,-2.1599999999999966,-1.6508082081852549,Buyloss
80,2018-08-22T20:00:00+07:00,128.223,128.262,127.958,128.105,127.4832317,127.2983456,127.115305,126.9757001,126.9779676,127.2176656,3,2,128.685,46,124.903,128.262,45,76,128.105,63,129.457,Sell,81,76,,,Sell,win,0.5800000000000125,0.4507129813109628,Sellwin
81,2018-09-04T00:00:00+07:00,129.059,129.109,128.998,129.016,128.7605455,128.8398617,128.9647345,129.1312849,129.2756686,129.4703168,3,1,128.105,32,130.866,128.557,42,49,129.016,46,127.917,Buy,82,49,,,Buy,win,0.9110000000000014,0.7111353967448588,Buywin
82,2018-09-13T12:00:00+07:00,129.51,129.638,129.439,129.509,128.964993,129.0152815,129.0713895,129.1235035,129.1721593,129.0728576,3,2,129.016,28,127.865,129.827,34,46,129.509,34,129.985,Sell,83,46,,,Sell,loss,-0.492999999999995,-0.3821231475165832,Sellloss
83,2018-10-03T04:00:00+07:00,131.235,131.295,131.129,131.137,131.4150324,131.5770002,131.7263117,131.831821,131.8305049,132.2321625,3,1,129.509,36,133.131,130.713,79,82,131.137,81,129.437,Buy,84,82,,,Buy,win,1.6280000000000143,1.2570554942127685,Buywin
84,2018-11-03T00:00:00+07:00,128.801,129.149,128.689,128.898,128.7858404,128.6579606,128.5349421,128.4421702,128.4284728,128.1941149,3,2,131.137,107,126.633,129.326,135,138,128.898,136,131.977,Sell,85,138,,,Sell,win,2.2390000000000043,1.7073747302439466,Sellwin
85,2018-11-13T09:00:00+07:00,127.774,128.308,127.679,128.117,128.9630126,128.9256996,128.9044728,128.8955417,128.8522128,128.36376,3,1,128.898,16,130.148,127.502,37,38,128.117,1,127.502,Buy,86,38,,,Buy,loss,-0.7810000000000059,-0.6059054446151266,Buyloss
86,2018-11-22T21:00:00+07:00,128.826,128.916,128.703,128.874,128.7376068,128.7065062,128.6836625,128.6688139,128.6667192,128.1700227,3,2,128.117,0,127.502,129.229,10,46,128.874,36,129.229,Sell,87,46,,,Sell,loss,-0.757000000000005,-0.5908661613993499,Sellloss
87,2018-12-07T01:00:00+07:00,128.147,128.312,127.993,128.141,128.5649489,128.5333606,128.4969562,128.4458788,128.358068,128.458528,3,1,128.874,31,129.294,127.619,49,61,128.141,12,127.619,Buy,88,61,,,Buy,loss,-0.7330000000000041,-0.5687725995934045,Buyloss
88,2018-12-11T17:00:00+07:00,128.647,128.98,128.638,128.723,128.5527395,128.531059,128.5108518,128.4921707,128.4831942,128.44,3,2,128.141,0,127.676,128.98,-1,17,128.723,17,128.98,Sell,89,17,,,Sell,loss,-0.582000000000022,-0.45418718442966893,Sellloss
89,2018-12-18T13:00:00+07:00,127.74,128.002,127.651,127.868,128.4972994,128.4746577,128.4492944,128.4154975,128.3567898,128.3263528,3,1,128.723,11,129.254,127.641,28,29,127.868,1,127.641,Buy,90,29,,,Buy,loss,-0.8550000000000182,-0.6642169620036964,Buyloss
90,2019-01-11T13:00:00+07:00,124.829,124.997,124.728,124.809,125.3574626,125.1284406,124.8962637,124.6916241,124.5864973,124.359,3,2,127.868,57,118.824,125.094,85,95,124.809,82,128.386,Sell,91,95,,,Sell,win,3.0589999999999975,2.3923108205336736,Sellwin
91,2019-01-16T17:00:00+07:00,123.951,124.077,123.788,123.932,124.9283921,124.7223845,124.5226047,124.3475784,124.2124907,124.6147739,3,1,124.809,0,124.997,123.398,15,19,123.932,4,123.398,Buy,92,19,,,Buy,loss,-0.8769999999999953,-0.7026736853912742,Buyloss
92,2019-01-22T01:00:00+07:00,124.637,124.714,124.59,124.642,124.7692513,124.6264155,124.5106705,124.443692,124.4496246,124.0936844,3,2,123.932,0,123.662,124.973,13,21,124.642,8,124.973,Sell,93,21,,,Sell,loss,-0.7099999999999937,-0.5728948132846995,Sellloss
93,2019-02-08T09:00:00+07:00,124.422,124.544,124.307,124.451,124.9365009,124.93693,124.9527128,124.9698451,124.9499034,124.74,3,1,124.642,59,125.946,124.307,58,80,124.451,61,123.787,Buy,94,80,,,Buy,loss,-0.1910000000000025,-0.1532388761412706,Buyloss
94,2019-02-20T05:00:00+07:00,125.445,125.937,125.346,125.887,124.9451821,124.9544673,124.9731322,125.0015086,125.0525699,124.8672862,3,2,124.451,4,124.173,125.937,3,48,125.887,48,125.937,Sell,95,48,,,Sell,loss,-1.436000000000007,-1.1538677873219236,Sellloss
95,2019-03-07T21:00:00+07:00,125.802,125.814,125.074,125.302,126.0170836,126.1108276,126.2114051,126.3056701,126.3542443,126.428,3,1,125.887,46,127.502,125.074,45,70,125.302,70,125.074,Buy,96,70,,,Buy,loss,-0.5849999999999937,-0.4647024712639063,Buyloss
96,2019-03-15T08:00:00+07:00,126.463,126.572,126.248,126.43,125.7948422,125.8203065,125.8377127,125.8480389,125.8799457,126.014,3,2,125.302,5,124.275,126.572,4,34,126.43,34,126.572,Sell,97,34,,,Sell,loss,-1.1280000000000001,-0.900225056264066,Sellloss
97,2019-03-25T08:00:00+07:00,123.977,124.289,123.877,124.251,125.8227361,125.8178469,125.7915349,125.726161,125.5709864,125.428911,3,1,126.43,22,126.787,123.822,33,36,124.251,3,123.822,Buy,98,36,,,Buy,loss,-2.179000000000002,-1.7234833504706177,Buyloss
98,2019-04-03T12:00:00+07:00,124.98,125.398,124.969,125.374,125.0703277,124.9934337,124.9026301,124.8086628,124.7498749,124.5171728,3,2,124.251,20,123.652,125.398,19,44,125.374,44,125.398,Sell,99,44,,,Sell,loss,-1.1229999999999905,-0.9038156634554172,Sellloss
99,2019-04-22T12:00:00+07:00,125.786,125.869,125.765,125.867,125.7924653,125.8472644,125.9140283,125.9842468,126.0224818,126.406263,3,1,125.374,60,126.807,125.652,69,78,125.867,46,124.779,Buy,100,78,,,Buy,win,0.4930000000000092,0.3932234753617251,Buywin
100,2019-06-10T12:00:00+07:00,122.873,122.923,122.689,122.706,122.2659939,122.1745888,122.1028158,122.0686122,122.1131242,122.0818483,3,2,125.867,180,120.784,122.923,179,211,122.706,208,126.068,Sell,101,211,,,Sell,win,3.1610000000000014,2.5113810609611744,Sellwin
101,2019-06-15T00:00:00+07:00,121.667,121.717,121.626,121.693,122.3462216,122.3063966,122.2867146,122.2872557,122.2856917,122.094,3,1,122.706,7,123.175,121.591,26,27,121.693,1,121.591,Buy,102,27,,,Buy,loss,-1.0130000000000052,-0.8255505028279018,Buyloss
102,2019-06-27T08:00:00+07:00,122.455,122.805,122.432,122.677,122.0360457,122.0088497,121.9974924,122.0094978,122.0679829,121.812867,3,2,121.693,28,120.951,122.805,27,51,122.677,51,122.805,Sell,103,51,,,Sell,loss,-0.9840000000000089,-0.8085921129399464,Sellloss
103,2019-07-04T00:00:00+07:00,121.648,121.689,121.571,121.571,122.121851,122.1132515,122.1120122,122.1101893,122.0790614,122.0441591,3,1,122.677,11,123.357,121.315,25,28,121.571,3,121.315,Buy,104,28,,,Buy,loss,-1.1060000000000088,-0.9015544886164552,Buyloss
104,2019-07-10T20:00:00+07:00,122.118,122.224,121.979,122.058,122.0046019,121.9883044,121.9747209,121.9619077,121.9549837,121.8662408,3,2,121.571,16,121.516,122.321,29,30,122.058,1,122.321,Sell,105,30,,,Sell,loss,-0.487000000000009,-0.4005889562477968,Sellloss
105,2019-07-16T20:00:00+07:00,121.39,121.532,121.3,121.39,121.8816199,121.852519,121.8190538,121.7751294,121.710084,121.7757295,3,1,122.058,9,122.233,121.097,23,24,121.39,1,121.097,Buy,106,24,,,Buy,loss,-0.6680000000000064,-0.5472808009307103,Buyloss
