time,open,high,low,close,Basis,Upper,Lower,%K,%D
2022-12-26T22:15:00+07:00,16831,16833,16807,16815,16846.3,16871.5119,16821.0881,21.99074074,18.16864098
2022-12-26T22:30:00+07:00,16816,16816,16802,16804,16843.7,16874.48376,16812.91624,19.53347578,19.28731194
2022-12-26T22:45:00+07:00,16803,16809,16801,16808,16841.6,16875.90685,16807.29315,16.40847578,19.31089744
2022-12-26T23:00:00+07:00,16808,16819,16802,16819,16840.05,16875.48148,16804.61852,27.75106838,21.23100665
2022-12-26T23:15:00+07:00,16819,16829,16818,16829,16838.35,16872.45147,16804.24853,55.20833333,33.12262583
2022-12-26T23:30:00+07:00,16829,16835,16829,16835,16837,16869.34192,16804.65808,81.25,54.73646724
2022-12-26T23:45:00+07:00,16835,16839,16835,16839,16835.85,16866.12392,16805.57608,95.83333333,77.43055556
2022-12-27T00:00:00+07:00,16838,16839,16833,16833,16834.65,16863.33641,16805.96359,94.59459459,90.55930931
2022-12-27T00:15:00+07:00,16832,16835,16829,16833,16833.45,16860.2416,16806.6584,85.07078507,91.83290433
2022-12-27T00:30:00+07:00,16832,16837,16832,16834,16832.3,16856.82835,16807.77165,68.4041184,82.68983269
2022-12-27T00:45:00+07:00,16834,16838,16834,16834,16831.2,16853.22362,16809.17638,57.14285714,70.20592021
2022-12-27T01:00:00+07:00,16834,16839,16827,16828,16830.55,16852.14143,16808.95857,36.11111111,53.88602889
2022-12-27T01:15:00+07:00,16827,16828,16821,16827,16829.7,16850.42776,16808.97224,30.55555556,41.26984127
2022-12-27T01:30:00+07:00,16827,16827,16819,16820,16828.7,16849.2728,16808.1272,15.55555556,27.40740741
2022-12-27T01:45:00+07:00,16820,16820,16816,16816,16827.5,16848.09612,16806.90388,12.77777778,19.62962963
2022-12-27T02:00:00+07:00,16816,16823,16815,16823,16826.55,16846.10991,16806.99009,12.77777778,13.7037037
2022-12-27T02:15:00+07:00,16823,16854,16823,16846,16826.8,16847.20196,16806.39804,37.60683761,21.05413105
2022-12-27T02:30:00+07:00,16846,16849,16843,16849,16827.65,16850.15578,16805.14422,66.66666667,39.01709402
2022-12-27T02:45:00+07:00,16849,16853,16842,16842,16828.3,16851.65894,16804.94106,78.63247863,60.96866097
2022-12-27T03:00:00+07:00,16842,16844,16841,16842,16828.8,16852.87156,16804.72844,75.21367521,73.5042735
2022-12-27T03:15:00+07:00,16842,16843,16841,16842,16830.15,16854.00183,16806.29817,66.58395368,73.47670251
