time,open,high,low,close,%K,%D,,,,,,
2009-11-30T22:00:00Z,0.91594,0.92709,0.91051,0.92457,56.86326603,50.36476623,,,,,,
2009-12-01T22:00:00Z,0.92457,0.92949,0.92309,0.92479,72.32918991,56.39209962,,,,,,
2009-12-02T22:00:00Z,0.92479,0.93219,0.92311,0.92379,79.28101421,69.49115672,,,,,,
2009-12-03T22:00:00Z,0.92379,0.9293,0.91079,0.91484,62.74681417,71.45233943,,,,,,
2009-12-06T22:00:00Z,0.91484,0.91882,0.90524,0.91242,44.82607473,62.28463437,,,,,,
2009-12-07T22:00:00Z,0.91242,0.91641,0.90199,0.90347,20.56519027,42.71269306,,,,,,
2009-12-08T22:00:00Z,0.90347,0.91135,0.90149,0.90842,18.03862722,27.80996407,,,,,,
2009-12-09T22:00:00Z,0.90842,0.91901,0.908,0.91597,26.51385125,21.70588958,,,,,,
2009-12-10T22:00:00Z,0.91597,0.91927,0.90904,0.91184,44.28412168,29.61220005,,,,,,
2009-12-13T22:00:00Z,0.91184,0.91747,0.90539,0.91655,64.99366247,45.26387847,,,,,,
2009-12-14T22:00:00Z,0.91655,0.91732,0.90335,0.90605,56.18672666,55.15483694,,,,,,
2009-12-15T22:00:00Z,0.90605,0.90701,0.89549,0.90037,43.62338434,54.93459115,,,,,,
2009-12-16T22:00:00Z,0.90037,0.90116,0.8846,0.88655,17.26423331,39.02478143,,,,,,
2009-12-17T22:00:00Z,0.88655,0.89119,0.88092,0.89029,17.26067356,26.0494304,,,,,,
2009-12-20T22:00:00Z,0.89029,0.89098,0.88057,0.88159,11.34536143,15.29008944,,,,,,
2009-12-21T22:00:00Z,0.88159,0.88344,0.87504,0.87649,10.98237572,13.1961369,,,,,,
2009-12-22T22:00:00Z,0.87649,0.88185,0.87339,0.87992,10.27519877,10.86764531,,,,,,
2009-12-23T22:00:00Z,0.87992,0.88597,0.87809,0.88256,26.52231335,15.92662928,,,,,,
2009-12-27T22:00:00Z,0.88256,0.88909,0.88256,0.88692,50.65004728,29.14918647,,,,,,
2009-12-28T22:00:00Z,0.88692,0.89929,0.88564,0.89465,70.17349994,49.11528686,,,,,,
2009-12-29T22:00:00Z,0.89465,0.89589,0.89013,0.89457,80.25990256,67.02781659,,,,,,
2009-12-30T22:00:00Z,0.89457,0.90103,0.8929,0.89747,82.7807531,77.73805187,,,,,,
2010-01-03T22:00:00Z,0.89747,0.91369,0.89382,0.91261,87.59599834,83.54555133,,,,,,
2010-01-04T22:00:00Z,0.91261,0.9174,0.90919,0.91222,88.23403652,86.20359599,,,,,,
2010-01-05T22:00:00Z,0.91222,0.92169,0.90977,0.92002,91.6431153,89.15771672,,,,,,
2010-01-06T22:00:00Z,0.92002,0.92664,0.9159,0.91757,83.83887632,87.90534271,,,,,,
2010-01-07T22:00:00Z,0.91757,0.92539,0.91229,0.92374,86.33012569,87.27070577,,,,,,
2010-01-10T22:00:00Z,0.92374,0.9325,0.92374,0.92947,83.76105744,84.64335315,,,,,,
2010-01-11T22:00:00Z,0.92947,0.93059,0.91704,0.9191,73.07076193,81.05398169,,,,,,
2010-01-12T22:00:00Z,0.9191,0.92674,0.91889,0.92387,61.78224283,72.87135407,,,,,,
2010-01-13T22:00:00Z,0.92387,0.93299,0.92085,0.93169,64.02174942,66.29158473,,,,,,
2010-01-14T22:00:00Z,0.93169,0.93179,0.92149,0.92359,64.02800154,63.27733127,,,,,,
2010-01-17T22:00:00Z,0.92359,0.92792,0.91744,0.92676,65.24202545,64.43059214,,,,,,
2010-01-18T22:00:00Z,0.92676,0.92739,0.91752,0.92417,48.42867079,59.23289926,,,,,,
2010-01-19T22:00:00Z,0.92417,0.92419,0.90721,0.90997,38.30871842,50.65980489,,,,,,
2010-01-20T22:00:00Z,0.90997,0.91459,0.89961,0.89998,18.37849962,35.03862961,,,,,,
2010-01-21T22:00:00Z,0.89998,0.90929,0.89822,0.90517,11.75214317,22.8131204,,,,,,
2010-01-24T22:00:00Z,0.90517,0.90929,0.90122,0.90257,13.15434576,14.42832952,,,,,,
2010-01-25T22:00:00Z,0.90257,0.90839,0.89375,0.89807,17.50170255,14.13606383,,,,,,
2010-01-26T22:00:00Z,0.89807,0.90454,0.89097,0.89459,14.81014305,15.15539712,,,,,,
2010-01-27T22:00:00Z,0.89459,0.90479,0.89285,0.89367,14.75194634,15.68793065,,,,,,
2010-01-28T22:00:00Z,0.89367,0.89622,0.8841,0.88417,10.11395808,13.22534916,,,,,,
2010-01-31T22:00:00Z,0.88417,0.89189,0.8788,0.89127,19.05283169,14.6395787,,,,,,
2010-02-01T22:00:00Z,0.89127,0.89266,0.87803,0.88629,24.42915647,17.86531541,,,,,,
2010-02-02T22:00:00Z,0.88629,0.89159,0.88136,0.88294,30.4526208,24.64486965,,,,,,
2010-02-03T22:00:00Z,0.88294,0.88294,0.86069,0.86457,20.04519855,24.9756586,,,,,,
2010-02-04T22:00:00Z,0.86457,0.87179,0.85779,0.86695,18.51254305,23.00345413,,,,,,
2010-02-07T22:00:00Z,0.86695,0.87089,0.86401,0.86452,18.82986875,19.12920345,,,,,,
2010-02-08T22:00:00Z,0.86452,0.87971,0.86124,0.8788,35.90967352,24.41736177,,,,,,
2010-02-09T22:00:00Z,0.8788,0.8796,0.87089,0.87765,53.47540807,36.07165011,,,,,,
2010-02-10T22:00:00Z,0.87765,0.89207,0.87489,0.89022,78.5764111,55.98716423,,,,,,
2010-02-11T22:00:00Z,0.89022,0.89154,0.87854,0.88729,86.02169705,72.69117207,,,,,,
2010-02-14T22:00:00Z,0.88729,0.89097,0.88487,0.88908,89.80018086,84.79942967,,,,,,
2010-02-15T22:00:00Z,0.88908,0.90269,0.88764,0.90188,90.75003519,88.85730437,,,,,,
2010-02-16T22:00:00Z,0.90188,0.90359,0.89677,0.89677,87.99713941,89.51578515,,,,,,
2010-02-17T22:00:00Z,0.89677,0.90259,0.89224,0.8946,79.26718014,86.00478491,,,,,,
2010-02-18T22:00:00Z,0.8946,0.89889,0.88779,0.89834,70.76794615,79.34408857,,,,,,
2010-02-21T22:00:00Z,0.89834,0.90239,0.89729,0.90009,71.37444366,73.80318999,,,,,,
2010-02-22T22:00:00Z,0.90009,0.90708,0.8878,0.89129,56.05189022,66.06476001,,,,,,
2010-02-23T22:00:00Z,0.89129,0.89518,0.88579,0.894,44.92108265,57.44913884,,,,,,
2010-02-24T22:00:00Z,0.894,0.89516,0.88006,0.88497,24.95951542,41.9774961,,,,,,
2010-02-25T22:00:00Z,0.88497,0.8979,0.88497,0.89609,38.68695167,36.18918325,,,,,,
2010-02-28T22:00:00Z,0.89609,0.9015,0.8935,0.90087,51.50505798,38.38384169,,,,,,
2010-03-01T22:00:00Z,0.90087,0.90589,0.89528,0.90417,76.56150852,55.58450606,,,,,,
2010-03-02T22:00:00Z,0.90417,0.90854,0.90074,0.90687,88.16477888,72.07711513,,,,,,
2010-03-03T22:00:00Z,0.90687,0.90687,0.89785,0.90029,84.15839696,82.96156146,,,,,,
2010-03-04T22:00:00Z,0.90029,0.90927,0.89844,0.90802,83.73589067,85.35302217,,,,,,
2010-03-07T22:00:00Z,0.90802,0.91329,0.90756,0.9085,76.82503356,81.57310706,,,,,,
2010-03-08T22:00:00Z,0.9085,0.91469,0.90551,0.91384,86.80990536,82.4569432,,,,,,
2010-03-09T22:00:00Z,0.91384,0.91929,0.9126,0.91509,82.92220215,82.18571369,,,,,,
2010-03-10T22:00:00Z,0.91509,0.91699,0.911,0.91503,84.97709572,84.90306774,,,,,,
2010-03-11T22:00:00Z,0.91503,0.91941,0.914,0.91549,77.25911808,81.71947198,,,,,,
2010-03-14T21:00:00Z,0.91549,0.91779,0.90949,0.91379,70.3117506,77.51598813,,,,,,
2010-03-15T21:00:00Z,0.91379,0.92068,0.91189,0.91998,75.03710704,74.20265857,,,,,,
2010-03-16T21:00:00Z,0.91998,0.92519,0.91734,0.92354,80.93440195,75.4277532,,,,,,
2010-03-17T21:00:00Z,0.92354,0.92424,0.91799,0.92004,83.47743758,79.81631552,,,,,,
2010-03-18T21:00:00Z,0.92004,0.92239,0.91284,0.91634,66.77282378,77.06155444,,,,,,
2010-03-21T21:00:00Z,0.91634,0.91839,0.90841,0.91801,56.01299697,68.75441944,,,,,,
2010-03-22T21:00:00Z,0.91801,0.9198,0.9136,0.91864,53.93565791,58.90715955,,,,,,
2010-03-23T21:00:00Z,0.91864,0.91969,0.90708,0.90725,39.72235882,49.8903379,,,,,,
2010-03-24T21:00:00Z,0.90725,0.91406,0.90654,0.90723,22.10314111,38.58705261,,,,,,
2010-03-25T21:00:00Z,0.90723,0.91171,0.9001,0.90374,7.940381885,23.25529394,,,,,,
2010-03-28T21:00:00Z,0.90374,0.91784,0.90329,0.91756,37.15330376,22.39894225,,,,,,
2010-03-29T21:00:00Z,0.91756,0.9215,0.91587,0.9189,64.98568876,36.6931248,,,,,,
2010-03-30T21:00:00Z,0.9189,0.92059,0.91306,0.91711,85.32196341,62.48698531,,,,,,
2010-03-31T21:00:00Z,0.91711,0.92166,0.91495,0.92054,87.3805478,79.22939999,,,,,,
2010-04-01T21:00:00Z,0.92054,0.92139,0.91803,0.91893,86.47666313,86.39305811,,,,,,
2010-04-04T21:00:00Z,0.91893,0.92212,0.91834,0.92125,90.11378636,87.99033243,,,,,,
2010-04-05T21:00:00Z,0.92125,0.92884,0.9165,0.92829,90.6835799,89.09134313,,,,,,
2010-04-06T21:00:00Z,0.92829,0.92974,0.92486,0.92662,88.60553057,89.80096561,,,,,,
2010-04-07T21:00:00Z,0.92662,0.92899,0.9223,0.9285,88.6845606,89.32455702,,,,,,
2010-04-08T21:00:00Z,0.9285,0.93424,0.92659,0.9335,88.45591408,88.58200175,,,,,,
2010-04-11T21:00:00Z,0.9335,0.93859,0.92519,0.92729,78.43623615,85.19223695,,,,,,
2010-04-12T21:00:00Z,0.92729,0.92936,0.92232,0.92909,62.11876029,76.33697017,,,,,,
2010-04-13T21:00:00Z,0.92909,0.93604,0.92723,0.93495,56.06088269,65.53862638,,,,,,
2010-04-14T21:00:00Z,0.93495,0.93639,0.93101,0.93433,64.38461913,60.85475404,,,,,,
2010-04-15T21:00:00Z,0.93433,0.93539,0.92309,0.92515,56.28860684,58.91136955,,,,,,
2010-04-18T21:00:00Z,0.92515,0.92515,0.91573,0.92365,43.1819214,54.61838246,,,,,,
2010-04-19T21:00:00Z,0.92365,0.93239,0.92365,0.93159,44.16520745,47.87857856,,,,,,
2010-04-20T21:00:00Z,0.93159,0.93384,0.92587,0.92669,56.05033882,47.79915589,,,,,,
2010-04-21T21:00:00Z,0.92669,0.93039,0.92269,0.92725,62.80406799,54.33987142,,,,,,
2010-04-22T21:00:00Z,0.92725,0.92769,0.91705,0.92679,57.57224547,58.80888409,,,,,,
2010-04-25T21:00:00Z,0.92679,0.93118,0.92443,0.92674,59.12676334,59.83435893,,,,,,
2010-04-26T21:00:00Z,0.92674,0.92864,0.91354,0.9153,42.48470215,53.06123699,,,,,,
2010-04-27T21:00:00Z,0.9153,0.92667,0.91364,0.92518,44.12308989,48.57818513,,,,,,
2010-04-28T21:00:00Z,0.92518,0.92939,0.92225,0.92756,51.37826778,45.99535327,,,,,,
2010-04-29T21:00:00Z,0.92756,0.93242,0.92458,0.92503,68.77430115,54.75855294,,,,,,
