time,open,high,low,close,Basis,Upper1,Lower1,Upper2.5,Lower2.5,Upper2,Lower2
1481162400,0.74836,0.75082,0.74833,0.74891,0.7455145,0.747526535,0.743502465,0.750544587,0.740484413,0.74953857,0.74149043
1481176800,0.74891,0.75058,0.74816,0.74984,0.7458845,0.747975972,0.743793028,0.75111318,0.74065582,0.750067444,0.741701556
1481191200,0.74984,0.74994,0.74409,0.74562,0.7459345,0.748007012,0.743861988,0.751115779,0.740753221,0.750079523,0.741789477
1481205600,0.74562,0.74751,0.74286,0.74493,0.74604,0.748002045,0.744077955,0.750945112,0.741134888,0.74996409,0.74211591
1481220000,0.74493,0.7466,0.74469,0.7464,0.746156,0.748066645,0.744245355,0.750932612,0.741379388,0.74997729,0.74233471
1481234400,0.7464,0.7464,0.74421,0.74448,0.7459175,0.747721797,0.744113203,0.750428243,0.741406757,0.749526095,0.742308905
1481248800,0.74448,0.7466,0.74435,0.74642,0.7458835,0.747671528,0.744095472,0.750353569,0.741413431,0.749459555,0.742307445
1481263200,0.74642,0.74823,0.74626,0.748,0.746025,0.747862266,0.744187734,0.750618164,0.741431836,0.749699531,0.742350469
1481277600,0.748,0.74958,0.74536,0.74706,0.746122,0.747960137,0.744283863,0.750717341,0.741526659,0.749798273,0.742445727
1481292000,0.74706,0.74776,0.74349,0.74427,0.7461235,0.747960112,0.744286888,0.750715029,0.741531971,0.749796724,0.742450276
1481306400,0.74427,0.74535,0.74417,0.74465,0.7460745,0.747936522,0.744212478,0.750729554,0.741419446,0.749798543,0.742350457
1481493600,0.7445,0.74638,0.74306,0.74564,0.746095,0.747949854,0.744240146,0.750732136,0.741457864,0.749804709,0.742385291
1481508000,0.74564,0.74594,0.74455,0.74507,0.7460435,0.747911751,0.744175249,0.750714128,0.741372872,0.749780003,0.742306997
1481522400,0.74507,0.74693,0.74464,0.74632,0.7462185,0.747934313,0.744502687,0.750508031,0.741928969,0.749650125,0.742786875
1481536800,0.74632,0.74956,0.74613,0.74894,0.746496,0.748180433,0.744811567,0.750707082,0.742284918,0.749864866,0.743127134
1481551200,0.74894,0.75041,0.74829,0.75017,0.7467775,0.748577969,0.744977031,0.751278673,0.742276327,0.750378438,0.743176562
1481565600,0.75017,0.75029,0.74857,0.74943,0.746998,0.748839308,0.745156692,0.751601271,0.742394729,0.750680616,0.743315384
1481580000,0.74943,0.7514,0.74895,0.74976,0.7471165,0.749053023,0.745179977,0.751957808,0.742275192,0.750989547,0.743243453
1481594400,0.74976,0.75034,0.74853,0.74891,0.747159,0.749124869,0.745193131,0.752073671,0.742244329,0.751090737,0.743227263
1481608800,0.74891,0.74935,0.74756,0.74817,0.7471495,0.749109993,0.745189007,0.752050734,0.742248266,0.751070487,0.743228513
1481623200,0.74817,0.75117,0.74761,0.75115,0.7472615,0.749377209,0.745145791,0.752550771,0.741972229,0.751492917,0.743030083
1481637600,0.75115,0.75233,0.74882,0.74965,0.747252,0.749356506,0.745147494,0.752513265,0.741990735,0.751461012,0.743042988
1481652000,0.74965,0.75037,0.74913,0.75002,0.747472,0.749623852,0.745320148,0.752851629,0.742092371,0.751775704,0.743168296
1481666400,0.75002,0.75014,0.74813,0.74838,0.7476445,0.749722683,0.745566317,0.752839958,0.742449042,0.751800866,0.743488134
1481680800,0.74838,0.74941,0.74822,0.74911,0.74778,0.749860969,0.745699031,0.752982421,0.742577579,0.751941937,0.743618063
1481695200,0.74911,0.75075,0.74864,0.74965,0.7480385,0.75001181,0.74606519,0.752971775,0.743105225,0.75198512,0.74409188
1481709600,0.74965,0.75217,0.7494,0.75143,0.748289,0.750356689,0.746221311,0.753458223,0.743119777,0.752424379,0.744153621
1481724000,0.75143,0.75248,0.75059,0.75084,0.748431,0.750570247,0.746291753,0.753779118,0.743082882,0.752709495,0.744152505
1481738400,0.75084,0.75086,0.7394,0.74054,0.748105,0.750841698,0.745368302,0.754946745,0.741263255,0.753578396,0.742631604
1481752800,0.74054,0.74253,0.73835,0.74247,0.748015,0.750901817,0.745128183,0.755232044,0.740797956,0.753788635,0.742241365
1481767200,0.74247,0.74307,0.74125,0.74135,0.74785,0.751006175,0.744693825,0.755740437,0.739959563,0.75416235,0.74153765
1481781600,0.74135,0.7428,0.73924,0.7399,0.747563,0.751140009,0.743985991,0.756505522,0.738620478,0.754717017,0.740408983
1481796000,0.7399,0.74007,0.73627,0.73851,0.747235,0.751293879,0.743176121,0.757382196,0.737087804,0.755352757,0.739117243
1481810400,0.73851,0.73903,0.73372,0.73633,0.7467355,0.751439656,0.742031344,0.75849589,0.73497511,0.756143812,0.737327188
1481824800,0.73633,0.73674,0.73525,0.73568,0.7460725,0.751322046,0.740822954,0.759196364,0.732948636,0.756571591,0.735573409
1481839200,0.73568,0.73692,0.73489,0.73521,0.7453245,0.750986518,0.739662482,0.759479544,0.731169456,0.756648535,0.734000465
1481853600,0.73521,0.7369,0.73521,0.73591,0.7446485,0.750580646,0.738716354,0.759478864,0.729818136,0.756512791,0.732784209
1481868000,0.73591,0.73663,0.73342,0.73452,0.7438865,0.750085908,0.737687092,0.759385021,0.728387979,0.756285317,0.731487683
1481882400,0.73452,0.73595,0.73246,0.73323,0.7431025,0.749601291,0.736603709,0.759349476,0.726855524,0.756100081,0.730104919
1481896800,0.73323,0.73332,0.72661,0.72969,0.7421785,0.749185017,0.735171983,0.759694793,0.724662207,0.756191534,0.728165466
1481911200,0.72969,0.7302,0.72887,0.72995,0.7411185,0.748289281,0.733947719,0.759045453,0.723191547,0.755460062,0.726776938
1482098400,0.7282,0.73127,0.72721,0.73069,0.7401705,0.74740374,0.73293726,0.758253599,0.722087401,0.754636979,0.725704021
1482112800,0.73069,0.73074,0.72871,0.72903,0.739121,0.746371739,0.731870261,0.757247846,0.720994154,0.753622477,0.724619523
1482127200,0.72903,0.73008,0.72876,0.72909,0.7381565,0.745394424,0.730918576,0.75625131,0.72006169,0.752632348,0.723680652
1482141600,0.72909,0.7292,0.72497,0.72555,0.7369785,0.744254975,0.729702025,0.755169688,0.718787312,0.751531451,0.722425549
1482156000,0.72555,0.72662,0.72511,0.72572,0.735782,0.74284067,0.72872333,0.753428676,0.718135324,0.749899341,0.721664659
1482170400,0.72572,0.72597,0.72422,0.7244,0.7344305,0.740929175,0.727931825,0.750677187,0.718183813,0.74742785,0.72143315
1482184800,0.7244,0.72595,0.72407,0.72547,0.733162,0.738745424,0.727578576,0.747120561,0.719203439,0.744328848,0.721995152
1482199200,0.72547,0.7258,0.72401,0.72519,0.7323945,0.737965987,0.726823013,0.746323217,0.718465783,0.743537474,0.721251526
1482213600,0.72519,0.72623,0.72332,0.72339,0.7314405,0.736835833,0.726045167,0.744928832,0.717952168,0.742231165,0.720649835
1482228000,0.72339,0.72384,0.72229,0.72331,0.7305385,0.735704867,0.725372133,0.743454419,0.717622581,0.740871235,0.720205765
1482242400,0.72331,0.72558,0.72244,0.72533,0.72981,0.734619904,0.725000096,0.741834761,0.717785239,0.739429809,0.720190191
1482256800,0.72533,0.72603,0.7251,0.72601,0.729185,0.733621446,0.724748554,0.740276116,0.718093884,0.738057892,0.720312108
1482271200,0.72601,0.72721,0.72574,0.72657,0.728697,0.732848298,0.724545702,0.739075244,0.718318756,0.736999595,0.720394405
1482285600,0.72657,0.72734,0.72508,0.72551,0.7281885,0.732067215,0.724309785,0.737885288,0.718491712,0.735945931,0.720431069
1482300000,0.72551,0.72622,0.72401,0.72483,0.7276695,0.731257532,0.724081468,0.73663958,0.71869942,0.734845564,0.720493436
1482314400,0.72483,0.7274,0.72468,0.72732,0.72724,0.730289643,0.724190357,0.734864107,0.719615893,0.733339285,0.721140715
1482328800,0.72732,0.72794,0.72402,0.72485,0.7267565,0.729345367,0.724167633,0.733228668,0.720284332,0.731934234,0.721578766
1482343200,0.72485,0.72504,0.72344,0.72363,0.7262765,0.728482236,0.724070764,0.731790841,0.720762159,0.730687973,0.721865027
1482357600,0.72363,0.72579,0.72219,0.72521,0.7260525,0.728123579,0.723981421,0.731230198,0.720874802,0.730194658,0.721910342
1482372000,0.72521,0.72522,0.72271,0.7233,0.72572,0.727668871,0.723771129,0.730592179,0.720847821,0.729617743,0.721822257
1482386400,0.7233,0.72442,0.72144,0.72165,0.725268,0.727053216,0.723482784,0.72973104,0.72080496,0.728838432,0.721697568
1482400800,0.72165,0.72193,0.71973,0.72051,0.724842,0.726693976,0.722990024,0.729471941,0.720212059,0.728545952,0.721138048
1482415200,0.72051,0.72305,0.72043,0.72072,0.7244235,0.726212897,0.722634103,0.728896993,0.719950007,0.728002295,0.720844705
1482429600,0.72072,0.72189,0.72012,0.72167,0.7242295,0.726094961,0.722364039,0.728893153,0.719565847,0.727960422,0.720498578
1482444000,0.72167,0.72274,0.7212,0.72181,0.724034,0.725937508,0.722130492,0.728792771,0.719275229,0.727841017,0.720226983
1482458400,0.72181,0.72187,0.71976,0.72067,0.7238475,0.725884088,0.721810912,0.728938969,0.718756031,0.727920675,0.719774325
1482472800,0.72067,0.72181,0.72041,0.72061,0.7236045,0.725721357,0.721487643,0.728896643,0.718312357,0.727838215,0.719370785
1482487200,0.72061,0.72143,0.71608,0.71672,0.723181,0.725739488,0.720622512,0.729577219,0.716784781,0.728297975,0.718064025
1482501600,0.71672,0.71791,0.71599,0.71699,0.722861,0.725751969,0.719970031,0.730088421,0.715633579,0.728642937,0.717079063
1482516000,0.71699,0.71776,0.7166,0.71705,0.722548,0.725700465,0.719395535,0.730429163,0.714666837,0.72885293,0.71624307
1482789600,0.71705,0.71864,0.71705,0.7176,0.7221615,0.725421226,0.718901774,0.730310815,0.714012185,0.728680952,0.715642048
1482804000,0.7176,0.71845,0.71738,0.71822,0.721772,0.725013963,0.718530037,0.729876908,0.713667092,0.728255927,0.715288073
1482818400,0.71822,0.71964,0.71809,0.7193,0.7214085,0.724496006,0.718320994,0.729127265,0.713689735,0.727583512,0.715233488
1482832800,0.7193,0.71947,0.71836,0.71895,0.7210805,0.724061474,0.718099526,0.728532934,0.713628066,0.727042448,0.715118552
1482847200,0.71895,0.71969,0.71852,0.71875,0.7207765,0.723668284,0.717884716,0.728005959,0.713547041,0.726560067,0.714992933
1482861600,0.71875,0.71899,0.71805,0.71813,0.720317,0.722839023,0.717794977,0.726622058,0.714011942,0.725361046,0.715272954
1482876000,0.71813,0.72075,0.71813,0.72035,0.720092,0.722390396,0.717793604,0.725837991,0.714346009,0.724688793,0.715495207
1482890400,0.72035,0.72136,0.72004,0.72132,0.7199765,0.722148783,0.717804217,0.725407207,0.714545793,0.724321066,0.715631934
1482904800,0.72132,0.72196,0.71929,0.71937,0.7196845,0.721496257,0.717872743,0.724213893,0.715155107,0.723308015,0.716060985
1482919200,0.71937,0.71948,0.71639,0.71646,0.7193425,0.7210837,0.7176013,0.723695501,0.714989499,0.722824901,0.715860099
1482933600,0.71646,0.71877,0.71637,0.71738,0.719129,0.720835616,0.717422384,0.723395541,0.714862459,0.722542232,0.715715768
1482948000,0.71738,0.71865,0.71737,0.71749,0.718978,0.720689343,0.717266657,0.723256358,0.714699642,0.722400687,0.715555313
1482962400,0.71749,0.71967,0.7163,0.71954,0.718919,0.720589113,0.717248887,0.723094284,0.714743716,0.722259227,0.715578773
1482976800,0.71954,0.72125,0.71926,0.72054,0.7188625,0.720455946,0.717269054,0.722846114,0.714878886,0.722049391,0.715675609
1482991200,0.72054,0.72199,0.72012,0.72162,0.718853,0.720429319,0.717276681,0.722793797,0.714912203,0.722005638,0.715700362
1483005600,0.72162,0.72183,0.71992,0.72052,0.7188455,0.720413491,0.717277509,0.722765477,0.714925523,0.721981481,0.715709519
1483020000,0.72052,0.72232,0.71927,0.72067,0.7188485,0.720419917,0.717277083,0.722777044,0.714919956,0.721991335,0.715705665
