time,open,high,low,close,Basis,Upper,Lower,%K,%D
2022-05-03T14:00:00+07:00,979.78,981.39,979.38,979.77,982.145,987.31,976.98,31.68399752,28.17458345
2022-05-03T15:00:00+07:00,980.17,981.54,979.06,979.24,981.985,986.99,976.98,33.14047755,31.38480147
2022-05-03T16:00:00+07:00,979.43,980.15,977.9,979.01,981.985,986.99,976.98,36.98094614,33.9351404
2022-05-05T09:00:00+07:00,986.61,988.43,986.6,986.6,982.705,988.43,976.98,50.01272667,40.04471678
2022-05-05T10:00:00+07:00,986.81,989.19,983.97,984.9,983.085,989.19,976.98,57.86819245,48.28728842
2022-05-05T11:00:00+07:00,985.15,985.15,980.35,981.52,983.085,989.19,976.98,58.89554245,55.59215386
2022-05-05T12:00:00+07:00,981.54,984,980.75,983.53,983.545,989.19,977.9,47.97756126,54.91376539
2022-05-05T14:00:00+07:00,982.47,983.8,981.22,982.21,983.545,989.19,977.9,34.32387876,47.06566083
2022-05-05T15:00:00+07:00,981.86,983.24,980.24,981.04,983.545,989.19,977.9,26.61547018,36.30563673
2022-05-05T16:00:00+07:00,980.81,981.8,976.98,976.98,983.085,989.19,976.98,9.993090489,23.64414648
2022-05-06T09:00:00+07:00,967.76,967.76,965.62,965.62,977.405,989.19,965.62,2.979515829,13.1960255
2022-05-06T10:00:00+07:00,965,971.83,964.4,969.38,976.795,989.19,964.4,8.556701031,7.176435783
2022-05-06T11:00:00+07:00,969.55,970.54,964.56,965.58,976.795,989.19,964.4,10.64445758,7.393558146
2022-05-06T12:00:00+07:00,965.41,967.07,964.25,966.28,974.7,985.15,964.25,14.5001081,11.23375557
2022-05-06T14:00:00+07:00,966.44,969,965.94,968.71,974.125,984,964.25,25.55642378,16.90032982
2022-05-06T15:00:00+07:00,968.58,970.06,967.5,968.01,974.025,983.8,964.25,40.00340778,26.68664655
2022-05-06T16:00:00+07:00,968.93,969.13,966.55,966.79,973.745,983.24,964.25,49.6082766,38.38936939
2022-05-09T09:00:00+07:00,964.09,964.09,960.84,960.87,971.32,981.8,960.84,30.10371976,39.90513471
2022-05-09T10:00:00+07:00,960.78,964.03,957.43,958.55,964.63,971.83,957.43,16.52490426,32.07896687
2022-05-09T11:00:00+07:00,958.05,959.96,955.19,959.47,963.51,971.83,955.19,12.65864629,19.76242344
2022-05-09T12:00:00+07:00,959.37,960.35,958.19,959.87,962.865,970.54,955.19,23.74100421,17.64151825
2022-05-09T14:00:00+07:00,958.42,960.23,957.8,960.09,962.625,970.06,955.19,39.13713909,25.17892987
2022-05-09T15:00:00+07:00,959.49,960.51,953.8,956.13,961.93,970.06,953.8,37.13492724,33.33769018
2022-05-09T16:00:00+07:00,955.62,957.25,954.33,954.33,961.93,970.06,953.8,28.57699569,34.94968734
2022-05-10T09:00:00+07:00,953.02,954,952.75,952.75,960.94,969.13,952.75,10.22493577,25.31228623
2022-05-10T10:00:00+07:00,952.45,956.97,949.19,952.53,956.64,964.09,949.19,12.46798636,17.08997261
2022-05-10T11:00:00+07:00,951.85,956.4,951.85,955.64,956.61,964.03,949.19,28.82803298,17.1736517
2022-05-10T12:00:00+07:00,955.59,957.54,954.29,956.77,954.85,960.51,949.19,59.08751402,33.46117779
2022-05-10T14:00:00+07:00,957.92,961.39,956.19,960.24,955.29,961.39,949.19,79.44367073,55.78640591
2022-05-10T15:00:00+07:00,960.11,962.3,958.87,961.64,955.745,962.3,949.19,92.10596289,76.87904921
2022-05-10T16:00:00+07:00,962.21,965.49,961.21,965.49,957.34,965.49,949.19,95.17981518,88.90981627
2022-05-11T09:00:00+07:00,964.18,965.04,962.76,962.92,957.34,965.49,949.19,90.67308216,92.65295341
2022-05-11T10:00:00+07:00,961.97,964.98,960.54,964.67,957.34,965.49,949.19,89.41212238,91.75500657
2022-05-11T11:00:00+07:00,963.82,964.99,958.89,960.36,957.34,965.49,949.19,63.58130667,81.2221704
