time,open,high,low,close,Basis90,Upper90,Lower90,Basis20,Upper20,Lower20,RSI
2021-06-11T07:00:00+07:00,4.203,4.267,3.792,3.858,6.576533333,10.8227233,2.330343363,4.5704,5.410579362,3.730220638,38.47697333
2021-06-12T07:00:00+07:00,3.858,3.862,3.479,3.667,6.548377778,10.83754201,2.259213543,4.56255,5.43287097,3.69222903,37.35896019
2021-06-13T07:00:00+07:00,3.667,4.049,3.58,3.963,6.529833333,10.84901227,2.210654396,4.52365,5.427491197,3.619808803,40.25618364
2021-06-14T07:00:00+07:00,3.963,4.278,3.881,4.235,6.517333333,10.85644788,2.17821879,4.50465,5.415956595,3.593343405,42.87100194
2021-06-15T07:00:00+07:00,4.235,4.398,4.12,4.342,6.506855556,10.86234577,2.151365344,4.4478,5.243395023,3.652204977,43.9109842
2021-06-16T07:00:00+07:00,4.342,4.543,4.054,4.128,6.494966667,10.87047815,2.119455182,4.4004,5.15240516,3.64839484,42.25424426
2021-06-17T07:00:00+07:00,4.128,4.302,3.978,4.069,6.481766667,10.87924998,2.084283356,4.3868,5.152326904,3.621273096,41.78614666
2021-06-18T07:00:00+07:00,4.069,4.07,3.67,3.846,6.468366667,10.89047632,2.04625701,4.3758,5.165393465,3.586206535,39.98320682
2021-06-19T07:00:00+07:00,3.846,3.926,3.707,3.723,6.453822222,10.90325945,2.004384999,4.3465,5.185762176,3.507237824,38.98407884
2021-06-20T07:00:00+07:00,3.723,3.783,3.448,3.759,6.441666667,10.91444705,1.968886284,4.2964,5.150209206,3.442590794,39.46090655
2021-06-21T07:00:00+07:00,3.759,3.781,2.9,2.943,6.422266667,10.94020451,1.90432882,4.2142,5.239583558,3.188816442,33.1392203
2021-06-22T07:00:00+07:00,2.943,3.092,2.398,2.737,6.405644444,10.96648301,1.844805883,4.1065,5.268320382,2.944679618,31.75611577
2021-06-23T07:00:00+07:00,2.737,3.09,2.641,2.885,6.392733333,10.98666566,1.798801009,3.986,5.129525951,2.842474049,33.89089597
2021-06-24T07:00:00+07:00,2.885,3.046,2.756,2.98,6.374755556,11.00912672,1.740384388,3.8993,5.071475089,2.727124911,35.29018099
2021-06-25T07:00:00+07:00,2.98,3.054,2.649,2.681,6.352955556,11.03788882,1.668022288,3.8032,5.042097026,2.564302974,32.92785097
2021-06-26T07:00:00+07:00,2.681,2.764,2.52,2.688,6.328066667,11.06651059,1.589622742,3.69755,4.938449428,2.456650572,33.04085869
2021-06-27T07:00:00+07:00,2.688,2.865,2.638,2.863,6.301855556,11.09031676,1.513394355,3.61725,4.855921365,2.378578635,35.94644514
2021-06-28T07:00:00+07:00,2.863,3.112,2.802,3.057,6.275722222,11.10885346,1.44259098,3.5564,4.77951396,2.33328604,39.1013064
2021-06-29T07:00:00+07:00,3.057,3.415,3.045,3.257,6.250755556,11.12263438,1.378876727,3.4942,4.643115419,2.345284581,42.25875385
2021-06-30T07:00:00+07:00,3.257,3.588,3.144,3.545,6.231733333,11.13226878,1.33119789,3.4613,4.56389405,2.35870595,46.55585396
2021-07-01T07:00:00+07:00,3.545,3.546,3.159,3.26,6.202088889,11.14173766,1.262440115,3.4314,4.521706269,2.341093731,43.13484205
2021-07-02T07:00:00+07:00,3.256,3.299,3.046,3.247,6.175,11.15229088,1.197709117,3.4104,4.497921476,2.322878524,42.97970095
2021-07-03T07:00:00+07:00,3.247,3.451,3.2,3.398,6.140033333,11.15054158,1.129525083,3.38215,4.439726527,2.324573473,45.43460339
2021-07-04T07:00:00+07:00,3.398,3.562,3.222,3.465,6.1107,11.15249852,1.068901481,3.34365,4.327744157,2.359555843,46.53452247
2021-07-05T07:00:00+07:00,3.465,3.465,3.193,3.307,6.076822222,11.15243382,1.001210622,3.2919,4.162909277,2.420890723,44.26829657
2021-07-06T07:00:00+07:00,3.307,3.774,3.267,3.746,6.055444444,11.15388578,0.957003104,3.2728,4.084358156,2.461241844,51.35662387
2021-07-07T07:00:00+07:00,3.746,3.919,3.543,3.596,6.027911111,11.15235206,0.903470167,3.24915,3.991102903,2.507197097,49.06055291
2021-07-08T07:00:00+07:00,3.596,3.607,3.124,3.192,5.985377778,11.13963372,0.83112184,3.21645,3.906105124,2.526794876,43.42882449
2021-07-09T07:00:00+07:00,3.192,3.246,3.053,3.193,5.942544444,11.12476214,0.760326745,3.18995,3.839262398,2.540637602,43.44612962
2021-07-10T07:00:00+07:00,3.193,3.249,3.059,3.135,5.887166667,11.08167402,0.692659309,3.15875,3.753353355,2.564146645,42.63156846
2021-07-11T07:00:00+07:00,3.135,3.254,3.061,3.204,5.840022222,11.05402759,0.626016852,3.1718,3.758291125,2.585308875,43.97725156
2021-07-12T07:00:00+07:00,3.204,3.317,3.096,3.202,5.794544444,11.02835644,0.560732448,3.19505,3.746576781,2.643523219,43.94507456
2021-07-13T07:00:00+07:00,3.202,3.231,2.972,3.063,5.747033333,11.00149415,0.49257252,3.20395,3.740723872,2.667176128,41.66345963
2021-07-14T07:00:00+07:00,3.063,3.071,2.83,3,5.698477778,10.97277836,0.424177199,3.20495,3.74012342,2.66977658,40.63371599
2021-07-15T07:00:00+07:00,3,3.04,2.78,2.844,5.656055556,10.960009,0.352102109,3.2131,3.720344675,2.705855325,38.12119864
2021-07-16T07:00:00+07:00,2.844,2.896,2.654,2.667,5.613455556,10.95105986,0.275851256,3.21205,3.723705929,2.700394071,35.44332354
2021-07-17T07:00:00+07:00,2.667,2.739,2.614,2.69,5.573822222,10.94459296,0.20305148,3.2034,3.743430147,2.663369853,36.07175197
2021-07-18T07:00:00+07:00,2.69,3.167,2.687,2.907,5.542088889,10.94168573,0.142492051,3.1959,3.747888732,2.643911268,41.8256575
2021-07-19T07:00:00+07:00,2.907,3.06,2.632,2.664,5.505722222,10.93817797,0.073266473,3.16625,3.76375477,2.56874523,37.73030351
2021-07-20T07:00:00+07:00,2.664,2.722,2.387,2.465,5.467133333,10.93597663,-0.001709959,3.11225,3.756461107,2.468038893,34.73114604
2021-07-21T07:00:00+07:00,2.465,2.786,2.4,2.718,5.424933333,10.91930578,-0.069439115,3.08515,3.747562945,2.422737055,41.13735196
2021-07-22T07:00:00+07:00,2.718,2.853,2.678,2.75,5.391222222,10.91352832,-0.131083872,3.0603,3.733758863,2.386841137,41.91392283
2021-07-23T07:00:00+07:00,2.75,2.893,2.634,2.802,5.358122222,10.90633712,-0.190092681,3.0305,3.694224491,2.366775509,43.22472926
2021-07-24T07:00:00+07:00,2.802,2.973,2.786,2.886,5.307155556,10.86099463,-0.246683516,3.00155,3.636841894,2.366258106,45.3694118
2021-07-25T07:00:00+07:00,2.886,3.058,2.81,2.973,5.234288889,10.7363893,-0.26781152,2.98485,3.604513869,2.365186131,47.57813319
2021-07-26T07:00:00+07:00,2.973,3.443,2.954,3.049,5.152766667,10.5637932,-0.258259862,2.95,3.46388559,2.43611441,49.49894379
2021-07-27T07:00:00+07:00,3.049,3.284,2.948,3.184,5.080955556,10.42259898,-0.26068787,2.9294,3.365139555,2.493660445,52.80686921
2021-07-28T07:00:00+07:00,3.184,3.292,3.085,3.247,5.014433333,10.29632408,-0.267457414,2.93215,3.375118295,2.489181705,54.31090868
2021-07-29T07:00:00+07:00,3.247,3.709,3.152,3.585,4.947555556,10.1470852,-0.251974091,2.95175,3.467810413,2.435689587,61.41570799
2021-07-30T07:00:00+07:00,3.585,3.898,3.395,3.893,4.873533333,9.93960988,-0.192543213,2.98965,3.646191629,2.333108371,66.52416162
2021-07-31T07:00:00+07:00,3.893,4.237,3.782,4.043,4.799711111,9.716206595,-0.116784373,3.0316,3.829552229,2.233647771,68.69776122
2021-08-01T07:00:00+07:00,4.043,4.28,3.706,3.764,4.7113,9.408028634,0.014571366,3.0597,3.917047094,2.202352906,60.7912195
2021-08-02T07:00:00+07:00,3.764,4.127,3.699,3.939,4.641066667,9.190536856,0.091596477,3.1035,4.042649509,2.164350491,63.61955255
2021-08-03T07:00:00+07:00,3.939,4.504,3.74,4.504,4.5668,8.899404197,0.234195803,3.1787,4.296518966,2.060881034,70.91445517
2021-08-04T07:00:00+07:00,4.506,4.616,4.11,4.559,4.502744444,8.659897632,0.345591257,3.26445,4.520932308,2.007967692,71.51327059
2021-08-05T07:00:00+07:00,4.559,4.587,4.208,4.457,4.439488889,8.42052026,0.458457518,3.35395,4.680506667,2.027393333,68.68888238
2021-08-06T07:00:00+07:00,4.457,4.64,4.317,4.547,4.369688889,8.113370768,0.62600701,3.4468,4.833081299,2.060518701,69.82144748
2021-08-07T07:00:00+07:00,4.547,4.76,4.39,4.595,4.306388889,7.833788569,0.778989208,3.5312,4.979881552,2.082518448,70.4356566
2021-08-08T07:00:00+07:00,4.595,4.641,4.148,4.257,4.251788889,7.625063164,0.878514614,3.61085,5.035017023,2.186682977,61.01812934
2021-08-09T07:00:00+07:00,4.257,4.656,4.029,4.579,4.194188889,7.359711881,1.028665897,3.71655,5.098009442,2.335090558,65.72036473
2021-08-10T07:00:00+07:00,4.579,5.088,4.447,4.644,4.152088889,7.189173377,1.1150044,3.81285,5.170770362,2.454929638,66.59631261
2021-08-11T07:00:00+07:00,4.644,5.249,4.632,4.847,4.114355556,7.02911916,1.199591951,3.9177,5.254837555,2.580562445,69.23991969
2021-08-12T07:00:00+07:00,4.847,5.129,4.45,4.697,4.0694,6.817245941,1.321554059,4.01245,5.287020904,2.737879096,65.13773639
2021-08-13T07:00:00+07:00,4.697,5.277,4.642,5.223,4.039833333,6.677936461,1.401730206,4.1293,5.397851788,2.860748212,71.51163559
2021-08-14T07:00:00+07:00,5.223,5.259,4.873,5.233,3.989844444,6.35052907,1.629159818,4.2423,5.480997881,3.003602119,71.6178769
2021-08-15T07:00:00+07:00,5.233,6.186,5.045,6.171,3.956055556,6.093265541,1.81884557,4.3984,5.77538488,3.02141512,79.38417624
2021-08-16T07:00:00+07:00,6.171,7.58,5.951,6.75,3.924355556,5.793404043,2.055307068,4.5767,6.182930008,2.970469992,82.55703021
