,time,open,high,low,close,EMA,EMA75,EMA60,EMA45,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,ac,accum_winrate,side,result,profit,prob,results
20,2018-02-09T01:00:00+07:00,1.57221,1.57449,1.57029,1.574,1.552725998,1.554968682,1.557834326,1.561434694,1.565680851,1.5640932,3,2,1.53645,65,1.51551,189,1.574,174,1.57971,Sell,21,189,,,Sell,loss,-0.03754999999999997,-2.4439454586872316,Sellloss
21,2018-05-11T00:00:00+07:00,1.58339,1.58362,1.58151,1.5816,1.594023591,1.593459687,1.59261516,1.591395493,1.589729574,1.591722607,3,1,1.574,201,1.61917,390,1.5816,47,1.56064,Buy,22,390,,,Buy,win,0.007599999999999829,0.48284625158829914,Buywin
22,2018-06-21T04:00:00+07:00,1.57037,1.57243,1.56939,1.57117,1.555718754,1.556208149,1.55742603,1.559572054,1.562756402,1.5644151,3,2,1.5816,102,1.52747,176,1.57117,18,1.58886,Sell,23,176,,,Sell,win,0.01042999999999994,0.6594587759231121,Sellwin
23,2018-08-09T20:00:00+07:00,1.56332,1.56492,1.56253,1.56378,1.570855329,1.570024268,1.568853335,1.567269625,1.565240937,1.566324305,3,1,1.57117,127,1.58905,214,1.56378,200,1.558,Buy,24,214,,,Buy,loss,-0.007390000000000008,-0.4703501212472239,Buyloss
24,2018-08-30T16:00:00+07:00,1.60335,1.60494,1.60113,1.6028,1.58188919,1.583545686,1.585801943,1.58889738,1.593058253,1.600635061,3,2,1.56378,41,1.56033,90,1.6028,88,1.60828,Sell,25,90,,,Sell,loss,-0.039020000000000055,-2.495235902748472,Sellloss
25,2018-10-30T20:00:00+07:00,1.60265,1.60314,1.59559,1.59688,1.614373003,1.6136873,1.612679425,1.611257464,1.609279745,1.614188464,3,1,1.6028,178,1.63577,259,1.59688,0,1.59559,Buy,26,259,,,Buy,loss,-0.005919999999999925,-0.36935363114549075,Buyloss
26,2018-12-17T09:00:00+07:00,1.57608,1.5771,1.57516,1.57667,1.569483029,1.569838968,1.570683132,1.572046274,1.573739406,1.571919993,3,2,1.59688,144,1.53466,202,1.57667,0,1.60517,Sell,27,202,,,Sell,win,0.02021000000000006,1.2655929061670295,Sellwin
27,2019-01-16T09:00:00+07:00,1.58449,1.58575,1.5831,1.58364,1.600667487,1.60071527,1.599989941,1.598071263,1.594614936,1.595551968,3,1,1.57667,63,1.6555,118,1.58364,0,1.57516,Buy,28,118,,,Buy,win,0.006969999999999921,0.4420709469958787,Buywin
28,2019-05-02T20:00:00+07:00,1.59751,1.59917,1.5953,1.59606,1.58514081,1.585782523,1.586807136,1.58833678,1.590492229,1.59402,3,2,1.58364,391,1.56839,460,1.59606,214,1.61219,Sell,29,460,,,Sell,loss,-0.012420000000000098,-0.7842691520800243,Sellloss
29,2019-07-04T00:00:00+07:00,1.60318,1.60438,1.60264,1.60435,1.623387488,1.623055235,1.622204658,1.620553246,1.617670902,1.616114244,3,1,1.59606,196,1.64484,265,1.60435,15,1.59041,Buy,30,265,,,Buy,win,0.008289999999999909,0.5194040324298528,Buywin
30,2019-08-05T04:00:00+07:00,1.63373,1.63783,1.63373,1.63636,1.612100342,1.612918538,1.614401127,1.616905093,1.620867245,1.617253558,3,2,1.60435,83,1.5894,134,1.63636,131,1.63923,Sell,31,134,,,Sell,loss,-0.032010000000000094,-1.9952005485087478,Sellloss
31,2019-09-09T16:00:00+07:00,1.60638,1.60957,1.60487,1.60762,1.629633867,1.628355946,1.626400276,1.623542307,1.619473331,1.617046582,3,1,1.63636,13,1.6787,153,1.60762,0,1.60487,Buy,32,153,,,Buy,loss,-0.028739999999999988,-1.7563372363049687,Buyloss
32,2019-10-10T04:00:00+07:00,1.63131,1.637,1.63075,1.63501,1.624856378,1.625362099,1.626096678,1.62704811,1.628134854,1.626349714,3,2,1.60762,19,1.59056,136,1.63501,0,1.637,Sell,33,136,,,Sell,loss,-0.027390000000000025,-1.7037608390042438,Sellloss
33,2019-11-05T05:00:00+07:00,1.61645,1.61812,1.61348,1.61581,1.621460608,1.620797279,1.619896711,1.618702246,1.617237027,1.620160814,3,1,1.63501,28,1.64327,108,1.61581,92,1.61126,Buy,34,108,,,Buy,loss,-0.019200000000000106,-1.1743047443134969,Buyloss
34,2019-11-28T09:00:00+07:00,1.62571,1.62772,1.62563,1.62688,1.621990197,1.622475554,1.623124383,1.623868881,1.624422778,1.6213452,3,2,1.61581,17,1.59758,104,1.62688,73,1.63235,Sell,35,104,,,Sell,loss,-0.011070000000000135,-0.6851053032225407,Sellloss
35,2019-12-27T09:00:00+07:00,1.59869,1.59974,1.59845,1.59947,1.613536436,1.61237227,1.61081998,1.608692259,1.605689209,1.60321332,3,1,1.62688,9,1.63147,118,1.59947,117,1.59675,Buy,36,118,,,Buy,loss,-0.027410000000000156,-1.6848200236034714,Buyloss
36,2020-01-30T17:00:00+07:00,1.6369,1.64221,1.63599,1.64094,1.620646956,1.621729441,1.623159027,1.625073713,1.627752327,1.626434988,3,2,1.59947,16,1.59637,139,1.64094,0,1.64221,Sell,37,139,,,Sell,loss,-0.04147000000000012,-2.5927338430855293,Sellloss
37,2020-02-19T13:00:00+07:00,1.61269,1.61353,1.6111,1.61234,1.622762767,1.622098216,1.620934432,1.619113742,1.616727228,1.6226604,3,1,1.64094,9,1.65941,83,1.61234,61,1.6086,Buy,38,83,,,Buy,loss,-0.02859999999999996,-1.7429034577742,Buyloss
38,2020-02-27T05:00:00+07:00,1.66243,1.66632,1.66124,1.66476,1.633057657,1.634365261,1.636175521,1.638980619,1.643709579,1.65119,3,2,1.61234,1,1.6111,35,1.66476,0,1.66632,Sell,39,35,,,Sell,loss,-0.05241999999999991,-3.2511753104183923,Sellloss
