time,open,high,low,close,EMA60,EMA100,EMA,EMA45,EMA75,ParabolicSAR
2020-05-28T09:00:00Z,107.821,107.822,107.695,107.724,107.7075491,107.6734653,107.7478425,107.7236179,107.6945534,107.6669963
2020-05-28T10:00:00Z,107.724,107.786,107.718,107.759,107.709236,107.675159,107.7485623,107.7251562,107.6962493,107.6714764
2020-05-28T11:00:00Z,107.759,107.775,107.716,107.751,107.7106053,107.6766608,107.7487196,107.7262799,107.6976901,107.6758669
2020-05-28T12:00:00Z,107.751,107.815,107.721,107.763,107.7123232,107.6783705,107.7496409,107.7278764,107.6994088,107.6801695
2020-05-28T13:00:00Z,107.763,107.784,107.698,107.74,107.7132306,107.6795909,107.7490189,107.7284035,107.700477,107.6843861
2020-05-28T14:00:00Z,107.74,107.788,107.57,107.623,107.7102722,107.6784703,107.7408886,107.7238207,107.6984381,107.891
2020-05-28T15:00:00Z,107.623,107.694,107.593,107.676,107.7091486,107.6784214,107.7367023,107.7217416,107.6978477,107.88458
2020-05-28T16:00:00Z,107.676,107.68,107.611,107.62,107.7062257,107.6772645,107.7291731,107.717318,107.695799,107.8782884
2020-05-28T17:00:00Z,107.62,107.694,107.612,107.652,107.7044478,107.6767642,107.7241942,107.7144781,107.6946464,107.8721226
2020-05-28T18:00:00Z,107.652,107.715,107.629,107.643,107.7024331,107.6760956,107.7189559,107.7113704,107.6932873,107.8660802
2020-05-28T19:00:00Z,107.643,107.663,107.601,107.62,107.6997304,107.6749848,107.7125716,107.7073977,107.6913587,107.8601586
2020-05-28T20:00:00Z,107.62,107.631,107.58,107.597,107.6963622,107.6734406,107.7051154,107.7025978,107.6888756,107.8543554
2020-05-28T21:00:00Z,107.597,107.636,107.572,107.607,107.6934322,107.6721249,107.6987853,107.6984414,107.686721,107.8486683
2020-05-28T22:00:00Z,107.607,107.713,107.601,107.682,107.6930574,107.6723205,107.6977024,107.6977266,107.6865967,107.8430949
2020-05-28T23:00:00Z,107.682,107.716,107.634,107.642,107.6913834,107.6717201,107.6941087,107.6953037,107.6854231,107.837633
2020-05-29T00:00:00Z,107.642,107.673,107.43,107.484,107.6845839,107.6680028,107.6805533,107.6861166,107.6801225,107.8322804
2020-05-29T01:00:00Z,107.484,107.513,107.406,107.419,107.6758763,107.6630721,107.6636789,107.6745028,107.6732509,107.8161892
2020-05-29T02:00:00Z,107.419,107.443,107.383,107.4,107.6668312,107.6578627,107.6466674,107.6625679,107.6660601,107.7915778
2020-05-29T03:00:00Z,107.4,107.413,107.376,107.393,107.6578531,107.6526179,107.6303017,107.6508476,107.6588743,107.7588916
2020-05-29T04:00:00Z,107.393,107.393,107.095,107.139,107.6408415,107.6424473,107.5986048,107.6285933,107.6451934,107.7206024
2020-05-29T05:00:00Z,107.139,107.229,107.077,107.109,107.6234041,107.631884,107.5670174,107.6060023,107.631083,107.6455301
2020-05-29T06:00:00Z,107.109,107.246,107.099,107.145,107.6077187,107.6222427,107.5397905,107.5859587,107.6182914,107.5659359
2020-05-29T07:00:00Z,107.145,107.23,107.089,107.203,107.5944492,107.6139409,107.5180621,107.5693083,107.6073626,107.4974849
2020-05-29T08:00:00Z,107.203,107.317,107.158,107.228,107.5824345,107.6062985,107.4993484,107.5544688,107.5973794,107.438617
2020-05-29T09:00:00Z,107.228,107.253,107.194,107.199,107.5698629,107.5982332,107.4799711,107.5390137,107.5868957,107.3879906
2020-05-29T10:00:00Z,107.199,107.228,107.124,107.212,107.5581297,107.590585,107.4626826,107.5247957,107.5770301,107.3444519
2020-05-29T11:00:00Z,107.212,107.252,107.134,107.146,107.5446172,107.5817813,107.4422515,107.5083263,107.5656872,107.3070087
2020-05-29T12:00:00Z,107.146,107.214,107.083,107.17,107.5323347,107.5736272,107.4246869,107.4936165,107.5552743,107.2748075
2020-05-29T13:00:00Z,107.17,107.6,107.169,107.542,107.5326516,107.5730009,107.4322555,107.4957201,107.554925,107.077
2020-05-29T14:00:00Z,107.542,107.761,107.463,107.652,107.5365647,107.5745653,107.4464325,107.5025149,107.5574796,107.083
2020-05-29T15:00:00Z,107.652,107.817,107.652,107.767,107.5441199,107.5783759,107.4671143,107.5140142,107.5629933,107.11012
2020-05-29T16:00:00Z,107.767,107.85,107.759,107.806,107.5527061,107.5828833,107.4889779,107.5267093,107.5693882,107.1525328
2020-05-29T17:00:00Z,107.806,107.891,107.794,107.85,107.5624535,107.5881727,107.5122696,107.5407654,107.5767728,107.2083302
2020-05-29T18:00:00Z,107.85,107.89,107.746,107.803,107.5703403,107.5924267,107.5310264,107.5521669,107.5827261,107.2765972
2020-05-29T19:00:00Z,107.803,107.844,107.754,107.838,107.579116,107.5972896,107.5508312,107.5645944,107.5894438,107.3380374
2020-05-29T20:00:00Z,107.838,107.897,107.753,107.773,107.5854728,107.600769,107.5651647,107.5736555,107.5942743,107.3933337
2020-05-31T21:00:00Z,107.662,107.734,107.659,107.71,107.5895557,107.602932,107.5745089,107.5795836,107.5973197,107.4537737
2020-05-31T22:00:00Z,107.71,107.814,107.689,107.736,107.5943571,107.605567,107.5849277,107.5863843,107.6009692,107.5069608
2020-05-31T23:00:00Z,107.736,107.742,107.647,107.71,107.5981487,107.607635,107.5929968,107.5917589,107.6038384,107.5537655
2020-06-01T00:00:00Z,107.71,107.856,107.668,107.767,107.6036848,107.6107907,107.6042229,107.599378,107.6081321,107.5949537
2020-06-01T01:00:00Z,107.767,107.777,107.635,107.686,107.6063837,107.61228,107.6094988,107.6031442,107.6101813,107.6311992
2020-06-01T02:00:00Z,107.686,107.725,107.647,107.678,107.6087318,107.6135814,107.6139182,107.6063988,107.611966,107.897
2020-06-01T03:00:00Z,107.678,107.691,107.615,107.634,107.6095602,107.6139857,107.6152138,107.6075989,107.6125458,107.892
2020-06-01T04:00:00Z,107.634,107.657,107.519,107.53,107.6069517,107.6123226,107.6097162,107.604225,107.6103736,107.88092
2020-06-01T05:00:00Z,107.53,107.573,107.521,107.547,107.6049861,107.6110291,107.60567,107.601737,107.6087058,107.8592048
