,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
130,Sell loss,2021-01-05T13:30:00Z,80.568,81.027,81.027,186,80.557,80.624,139,81.041,9,80.568,0,80.568,Sell,loss,-1.006382979,-0.004356636
131,Buy win,2021-01-05T18:00:00Z,81.041,81.027,81.027,195,80.557,80.624,148,80.96,12,81.276054,31,80.568,Buy,win,0.500114894,0.002165
132,Buy win,2021-01-13T17:30:00Z,81.841,81.772,81.772,58,81.487,81.487,20,81.702,9,81.94813,17,0,Buy,win,0.375894737,0.00162725
133,Sell win,2021-01-18T00:00:00Z,81.346,82.136,81.652,66,81.353,81.353,18,81.382,1,81.168218,9,0,Sell,win,0.227052363,0.000982911
134,Buy win,2021-01-20T13:00:00Z,81.779,81.773,81.773,61,81.52,81.52,30,81.664,0,81.929354,4,0,Buy,win,0.594284585,0.002572661
135,Sell win,2021-01-25T15:30:00Z,81.403,82.085,81.761,126,81.437,81.437,36,81.562,0,81.236768,29,0,Sell,win,0.256530864,0.001110523
136,Sell win,2021-01-27T21:00:00Z,81.262,81.605,81.605,6,81.361,81.361,13,81.439,10,81.210208,20,0,Sell,win,0.212262295,0.000918884
137,Sell win,2021-02-01T19:30:00Z,81.709,82.018,82.018,25,81.747,81.747,41,81.865,0,81.579522,3,0,Sell,win,0.477778598,0.002068306
138,Buy win,2021-02-03T16:30:00Z,82.283,82.224,82.224,17,81.601,82.121,81,82.09,15,82.283,31,82.283,Buy,win,0,0
139,Buy win,2021-02-11T08:30:00Z,82.571,82.54,82.54,32,82.288,82.359,14,82.333,48,82.651858,64,82.662,Buy,win,0.320865079,0.001389026
140,Sell win,2021-02-18T15:30:00Z,83.157,83.575,83.409,82,83.162,83.162,47,83.399,18,83.116,34,83.116,Sell,win,0.099273608,0.000429756
141,Buy loss,2021-02-22T13:00:00Z,83.848,83.833,83.833,17,83.523,83.523,8,83.506,23,83.869,0,83.869,Buy,loss,-1.103225806,-0.004775869
142,Sell win,2021-02-22T13:00:00Z,83.506,83.833,83.833,40,83.523,83.523,31,83.603,0,83.33142,2,83.869,Sell,win,0.56316129,0.002437928
143,Buy win,2021-02-23T04:00:00Z,83.409,83.399,83.399,21,83.236,83.236,7,83.362,0,83.499734,6,0,Buy,win,0.556650307,0.002409742
